,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2
18,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,2.6,4,2.6,5,160,80,91,2,2.6,11,0,-0.092897328,0.666666667,Bangladesh,India
19,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,2.7,4,2.7,5,160,80,91,2,2.7,11,0,-0.092897328,0.666666667,Bangladesh,India
20,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,3.1,5,3.1,5,160,80,91,2,3.1,12,0,-0.092897328,0.666666667,Bangladesh,India
21,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,3.2,5,3.2,6,160,80,91,2,3.2,13,0,-0.092897328,0.666666667,Bangladesh,India
22,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,3.3,6,3.3,9,160,80,91,2,3.3,17,0,-0.092897328,0.666666667,Bangladesh,India
23,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,3.4,6,3.4,13,160,80,91,2,3.4,21,0,-0.092897328,0.666666667,Bangladesh,India
24,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,3.5,6,3.5,15,160,80,91,2,3.5,23,0,-0.092897328,0.666666667,Bangladesh,India
25,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,3.6,6,3.6,15,160,80,91,2,3.6,23,0,-0.092897328,0.666666667,Bangladesh,India
26,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,4.1,15,4.1,6,160,80,91,2,4.1,23,0,-0.092897328,0.666666667,Bangladesh,India
27,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,4.2,15,4.2,10,160,80,91,2,4.2,27,0,-0.092897328,0.666666667,Bangladesh,India
28,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,4.3,15,4.3,16,160,80,91,2,4.3,33,0,-0.092897328,0.666666667,Bangladesh,India
29,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,4.4,15,4.4,16,160,80,91,2,4.4,33,1,-0.092897328,0.666666667,Bangladesh,India
30,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,4.5,0,4.5,16,160,80,91,2,4.5,34,1,-0.092897328,0.666666667,Bangladesh,India
31,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,4.6,16,4.6,0,160,80,91,2,4.6,34,1,-0.092897328,0.666666667,Bangladesh,India
32,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,5.1,0,5.1,20,160,80,91,2,5.1,38,1,-0.092897328,0.666666667,Bangladesh,India
33,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,5.2,0,5.2,24,160,80,91,2,5.2,42,1,-0.092897328,0.666666667,Bangladesh,India
34,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,5.3,0,5.3,24,160,80,91,2,5.3,42,1,-0.092897328,0.666666667,Bangladesh,India
35,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,5.4,0,5.4,30,160,80,91,2,5.4,48,1,-0.092897328,0.666666667,Bangladesh,India
36,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,5.5,0,5.5,30,160,80,91,2,5.5,48,1,-0.092897328,0.666666667,Bangladesh,India
