,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Pakistan,New Zealand
18,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,3.1,32,3.1,10,160,78,68,1,3.1,42,0,-0.111940299,0.333333333,Pakistan,New Zealand
19,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,3.2,32,3.2,16,160,78,68,1,3.2,48,0,-0.111940299,0.333333333,Pakistan,New Zealand
20,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,3.3,32,3.3,16,160,78,68,1,3.3,48,0,-0.111940299,0.333333333,Pakistan,New Zealand
21,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,3.4,32,3.4,17,160,78,68,1,3.4,49,0,-0.111940299,0.333333333,Pakistan,New Zealand
22,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,3.5,17,3.5,32,160,78,68,1,3.5,49,0,-0.111940299,0.333333333,Pakistan,New Zealand
23,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,3.6,17,3.6,32,160,78,68,1,3.6,49,0,-0.111940299,0.333333333,Pakistan,New Zealand
24,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,4.1,32,4.1,17,160,78,68,1,4.1,49,0,-0.111940299,0.333333333,Pakistan,New Zealand
25,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,4.2,32,4.2,17,160,78,68,1,4.2,49,0,-0.111940299,0.333333333,Pakistan,New Zealand
26,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,4.3,32,4.3,17,160,78,68,1,4.3,49,0,-0.111940299,0.333333333,Pakistan,New Zealand
27,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,4.4,32,4.4,18,160,78,68,1,4.4,50,0,-0.111940299,0.333333333,Pakistan,New Zealand
28,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,4.5,18,4.5,34,160,78,68,1,4.5,52,0,-0.111940299,0.333333333,Pakistan,New Zealand
29,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,4.6,18,4.6,35,160,78,68,1,4.6,53,0,-0.111940299,0.333333333,Pakistan,New Zealand
30,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,5.1,18,5.1,35,160,78,68,1,5.1,53,0,-0.111940299,0.333333333,Pakistan,New Zealand
31,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,5.2,18,5.2,35,160,78,68,1,5.2,53,0,-0.111940299,0.333333333,Pakistan,New Zealand
