,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2,Day/Night
20,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,3.3,4,3.3,0,160,24,45,1,3.3,17,1,0.077075099,-0.666666667,England,Australia,1
21,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,3.4,4,3.4,0,160,24,45,1,3.4,17,1,0.077075099,-0.666666667,England,Australia,1
22,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,3.5,4,3.5,0,160,24,45,1,3.5,17,1,0.077075099,-0.666666667,England,Australia,1
23,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,3.6,4,3.6,1,160,24,45,1,3.6,18,1,0.077075099,-0.666666667,England,Australia,1
24,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,4.1,4,4.1,2,160,24,45,1,4.1,19,1,0.077075099,-0.666666667,England,Australia,1
25,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,4.2,2,4.2,4,160,24,45,1,4.2,19,1,0.077075099,-0.666666667,England,Australia,1
26,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,4.3,2,4.3,4,160,24,45,1,4.3,19,2,0.077075099,-0.666666667,England,Australia,1
27,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,4.4,0,4.4,2,160,24,45,1,4.4,19,2,0.077075099,-0.666666667,England,Australia,1
28,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,4.5,0,4.5,2,160,24,45,1,4.5,19,2,0.077075099,-0.666666667,England,Australia,1
29,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,4.6,0,4.6,2,160,24,45,1,4.6,19,2,0.077075099,-0.666666667,England,Australia,1
30,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,5.1,2,5.1,0,160,24,45,1,5.1,19,2,0.077075099,-0.666666667,England,Australia,1
31,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,5.2,2,5.2,1,160,24,45,1,5.2,20,2,0.077075099,-0.666666667,England,Australia,1
32,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,5.3,1,5.3,6,160,24,45,1,5.3,24,2,0.077075099,-0.666666667,England,Australia,1
33,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,5.4,1,5.4,7,160,24,45,1,5.4,25,2,0.077075099,-0.666666667,England,Australia,1
