,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec
0,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,0.1,0,0.1,2,160,31,27,2,0.1,2,0,-0.08846153846153842,-0.6666666666666667
1,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,0.2,0,0.2,2,160,31,27,2,0.2,2,0,-0.08846153846153842,-0.6666666666666667
2,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,0.3,0,0.3,2,160,31,27,2,0.3,2,0,-0.08846153846153842,-0.6666666666666667
3,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,0.4,0,0.4,2,160,31,27,2,0.4,2,1,-0.08846153846153842,-0.6666666666666667
4,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,0.5,0,0.5,0,160,31,27,2,0.5,2,1,-0.08846153846153842,-0.6666666666666667
5,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,0.6,0,0.6,0,160,31,27,2,0.6,2,1,-0.08846153846153842,-0.6666666666666667
6,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,1.1,0,1.1,1,160,31,27,2,1.1,3,1,-0.08846153846153842,-0.6666666666666667
7,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,1.2,1,1.2,0,160,31,27,2,1.2,3,1,-0.08846153846153842,-0.6666666666666667
8,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,1.3,1,1.3,0,160,31,27,2,1.3,3,1,-0.08846153846153842,-0.6666666666666667
9,-5.704893990116371,-0.2857142857142847,-2.106800573888086,4.325714285714287,-0.17613543054916705,-0.36372844341790583,0.15857142857142748,0.5299999999999994,0.21208305523424897,0.21898139786888304,-0.33085714285714296,0.012999999999997236,0.0,1,-0.6666666666666667,1,1.4,1,1.4,0,160,31,27,2,1.4,3,1,-0.08846153846153842,-0.6666666666666667
