,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec
0,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,0.1,0,0.1,0,160,55,64,1,0.1,0,0,-0.001322751322751281,1.0
1,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,0.2,0,0.2,0,160,55,64,1,0.2,0,0,-0.001322751322751281,1.0
2,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,0.3,0,0.3,0,160,55,64,1,0.3,0,0,-0.001322751322751281,1.0
3,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,0.4,0,0.4,4,160,55,64,1,0.4,4,0,-0.001322751322751281,1.0
4,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,0.5,0,0.5,5,160,55,64,1,0.5,5,0,-0.001322751322751281,1.0
5,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,0.6,5,0.6,0,160,55,64,1,0.6,5,0,-0.001322751322751281,1.0
6,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,1.1,0,1.1,9,160,55,64,1,1.1,9,0,-0.001322751322751281,1.0
7,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,1.2,0,1.2,9,160,55,64,1,1.2,9,0,-0.001322751322751281,1.0
8,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,1.3,0,1.3,9,160,55,64,1,1.3,9,0,-0.001322751322751281,1.0
9,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,1.4,0,1.4,9,160,55,64,1,1.4,10,0,-0.001322751322751281,1.0
10,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,1.5,0,1.5,13,160,55,64,1,1.5,14,0,-0.001322751322751281,1.0
11,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,1.6,0,1.6,17,160,55,64,1,1.6,18,0,-0.001322751322751281,1.0
12,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,1.7,0,1.7,21,160,55,64,1,1.7,22,0,-0.001322751322751281,1.0
13,-1.7595307917888547,8.499999999999998,-0.28663552365934386,6.733333333333333,-0.0793165839283474,0.0384058504503176,-1.2028203419942258,-19.493333333333336,-0.3059347445877689,-2.6005107925523143,-0.24154119475904068,-9.008,0.0,1,0.5454545454545454,1,2.1,21,2.1,4,160,55,64,1,2.1,26,0,-0.001322751322751281,1.0
