,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec
0,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,0.1,0,0.1,0,160,3,2,2,0.1,0,0,0.5,0.5
1,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,0.2,0,0.2,0,160,3,2,2,0.2,0,0,0.5,0.5
2,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,0.3,0,0.3,0,160,3,2,2,0.3,0,0,0.5,0.5
3,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,0.4,0,0.4,0,160,3,2,2,0.4,0,0,0.5,0.5
4,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,0.5,0,0.5,1,160,3,2,2,0.5,1,0,0.5,0.5
5,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,0.6,1,0.6,4,160,3,2,2,0.6,5,0,0.5,0.5
6,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,1.1,4,1.1,1,160,3,2,2,1.1,5,0,0.5,0.5
7,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,1.2,4,1.2,2,160,3,2,2,1.2,6,0,0.5,0.5
8,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,1.3,2,1.3,5,160,3,2,2,1.3,7,0,0.5,0.5
9,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,1,0.5,1,1.4,5,1.4,2,160,3,2,2,1.4,7,0,0.5,0.5
