,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec
0,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,0.1,0,0.1,0,160,18,16,1,0.1,0,0,-0.11372549019607842,0.3333333333333333
1,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,0.2,0,0.2,0,160,18,16,1,0.2,0,1,-0.11372549019607842,0.3333333333333333
2,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,0.3,0,0.3,0,160,18,16,1,0.3,0,1,-0.11372549019607842,0.3333333333333333
3,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,0.4,0,0.4,1,160,18,16,1,0.4,1,1,-0.11372549019607842,0.3333333333333333
4,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,0.5,1,0.5,0,160,18,16,1,0.5,1,1,-0.11372549019607842,0.3333333333333333
5,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,0.6,1,0.6,4,160,18,16,1,0.6,5,1,-0.11372549019607842,0.3333333333333333
6,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,1.1,4,1.1,1,160,18,16,1,1.1,6,1,-0.11372549019607842,0.3333333333333333
7,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,1.2,4,1.2,5,160,18,16,1,1.2,10,1,-0.11372549019607842,0.3333333333333333
8,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,1.3,4,1.3,9,160,18,16,1,1.3,14,1,-0.11372549019607842,0.3333333333333333
9,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,1.4,4,1.4,9,160,18,16,1,1.4,14,1,-0.11372549019607842,0.3333333333333333
10,-3.6746706166679672,-0.40909090909091006,-1.6462929757542675,0.556363636363634,-0.12723525296845084,-0.06559072756043571,-0.2541201488569911,-5.464444444444442,0.04106738762378992,-0.13081873970962388,-0.312663476874004,-4.424,0.0,1,1.5,1,1.5,4,1.5,10,160,18,16,1,1.5,15,1,-0.11372549019607842,0.3333333333333333
