,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Team1 Name,Team1 No Of Matches,Team2 Name,Team2 No Of Matches,Win Percentage All,Win Percentage Rec
0,-18.39393939393939,-18.39393939393939,-8.90909090909091,-8.90909090909091,-0.2891156462585034,-0.2891156462585034,18.71212121212121,18.71212121212121,1.7857142857142847,1.7857142857142847,8.90909090909091,8.90909090909091,0.0,New Zealand,1,Australia,1,-1.0,-1.0
1,2.0347222222222214,2.0347222222222214,0.3541666666666661,0.3541666666666661,0.11907270282744371,0.11907270282744371,-11.406698564593299,-11.406698564593299,-3.5628657057228486,-3.5628657057228486,-4.578947368421053,-4.578947368421053,1.0,England,1,Australia,2,0.5,0.5
2,-6.823863636363637,-6.823863636363637,-3.4977272727272744,-3.4977272727272744,-0.21734412087962815,-0.21734412087962815,0.5208333333333321,0.5208333333333321,-1.3694000750989268,-1.3694000750989268,3.2124999999999986,3.2124999999999986,0.0,South Africa,1,New Zealand,2,-0.5,-0.5
3,13.350877192982457,13.350877192982457,6.183458646616543,6.183458646616543,0.4033687943262409,0.4033687943262409,-20.624521072796938,-20.624521072796938,-0.7385507246376815,-0.7385507246376815,-13.103448275862071,-13.103448275862071,1.0,Australia,3,South Africa,2,0.6666666666666666,0.6666666666666666
4,2.458333333333332,2.458333333333332,-0.5249999999999968,-0.5249999999999968,0.2086710006827559,0.2086710006827559,6.207729468599032,6.207729468599032,1.5398411924496758,1.5398411924496758,2.2202898550724646,2.2202898550724646,0.5,New Zealand,3,West Indies,1,0.0,0.0
5,-8.504615384615384,-4.929523809523811,-3.1643076923076947,-1.5862857142857143,-0.27312851083342854,-0.1945256236301011,13.115530303030305,11.942934782608695,0.7637861989228618,0.8465697098911136,7.394318181818185,6.4125000000000005,1.0,South Africa,3,Australia,4,-0.16666666666666669,0.0
6,9.2012987012987,9.2012987012987,6.109090909090909,6.109090909090909,0.08078231292517006,0.08078231292517006,-14.30952380952381,-14.30952380952381,-0.8739690566492095,-0.8739690566492095,-9.914285714285715,-9.914285714285715,0.0,England,2,Sri Lanka,1,-0.5,-0.5
7,-1.3809523809523796,-1.3809523809523796,-0.7999999999999998,-0.7999999999999998,-0.01997010925582347,-0.01997010925582347,-2.3461538461538467,-2.3461538461538467,0.4592827422231025,0.4592827422231025,-2.8153846153846147,-2.8153846153846147,0.0,England,3,Pakistan,1,-0.6666666666666667,-0.6666666666666667
8,-7.464705882352941,-6.116666666666667,-9.847058823529409,-9.024999999999999,0.16957131410256387,0.1969528056484576,20.45,22.666666666666668,2.399957371982736,2.7721088435374144,11.219999999999997,11.760000000000002,0.0,South Africa,4,India,1,-0.75,-0.6666666666666667
9,-0.09375,0.18181818181818343,1.8125000000000009,2.995454545454547,-0.18249889909465708,-0.2569954101721768,-0.48214285714285765,-5.646616541353385,0.19699767582539884,-0.8847741343728499,-0.7749999999999986,-2.7473684210526335,0.0,New Zealand,4,Sri Lanka,2,-0.625,-0.5
10,3.7457002457002453,2.7727272727272734,3.5800982800982823,3.8727272727272744,-0.036876871322757264,-0.1207149312179941,-3.6532507739938076,-6.736842105263156,0.30554176131861066,-0.5931877379282708,-3.634365325077397,-4.452631578947368,1.0,New Zealand,5,Sri Lanka,3,-0.16666666666666663,-0.16666666666666663
11,8.756989247311825,18.852272727272727,2.281290322580646,6.051136363636365,0.32932353976073186,0.5328172581992613,-0.5691244239631352,-6.5773809523809526,-0.27956313623848317,-1.5557868952847516,0.05299539170506584,-1.8535714285714286,1.0,Australia,5,England,4,0.35,0.6666666666666666
12,1.371621621621621,-0.8333333333333321,1.1543918918918932,-0.03749999999999787,-0.00857264025202964,-0.053357220750895884,1.64903846153846,10.819078947368421,1.1196645140967076,2.2334004024144862,-0.7461538461538435,3.2368421052631593,0.0,England,5,West Indies,2,-0.55,-0.75
13,1.3509316770186324,0.5197628458498009,1.4062111801242247,0.6166007905138331,-0.030959894102459657,-0.018788714602757068,-0.9958592132505188,5.80952380952381,0.8729063460187696,2.048071788442339,-2.3559006211180114,0.057142857142859604,1.0,England,6,West Indies,3,-0.16666666666666669,-0.16666666666666669
14,-5.666666666666668,-5.666666666666668,-2.799999999999998,-2.799999999999998,-0.14421768707482988,-0.14421768707482988,6.0,6.0,0.9469387755102048,0.9469387755102048,2.799999999999998,2.799999999999998,0.0,Kenya,1,Bangladesh,1,-1.0,-1.0
15,-3.23076923076923,-3.23076923076923,-0.04615384615384599,-0.04615384615384599,-0.18474238955066724,-0.18474238955066724,2.400000000000002,2.400000000000002,0.9183673469387745,0.9183673469387745,0.0,0.0,0.0,Bangladesh,2,Pakistan,2,-0.5,-0.5
16,-15.711111111111112,-15.711111111111112,-7.320000000000004,-7.320000000000004,-0.4437378020055185,-0.4437378020055185,13.59,13.59,0.9279216004740842,0.9279216004740842,9.261000000000003,9.261000000000003,0.0,Kenya,2,Pakistan,3,-1.0,-1.0
17,-2.828544061302683,5.176136363636363,-0.524712643678158,5.226136363636364,-0.13333018126636573,-0.13416477702191956,3.775919732441473,-7.299999999999997,0.10608101278272208,-0.7650721382159169,2.3478260869565215,-3.033333333333333,1.0,South Africa,5,West Indies,4,0.025000000000000022,0.3333333333333333
