,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Face To Face Win Diff,Win Percentage All,Win Percentage Rec,Current Winner
0,3.765567766,0.19047619,0.092307692,-1.485714286,0.215884168,0.137281281,5.043123543,6.215719064,1.032551345,0.949767835,2.133566434,3.115384615,0,0.166666667,0,1
1,-4.699488491,-3.351449275,-1.812276215,-0.990217391,-0.168913442,-0.14153195,10.29761905,12.51428571,0.553471337,0.925622809,6.237142857,6.777142857,0.5,-0.25,-0.166666667,1
2,-4.262987013,-4.262987013,0.105194805,0.105194805,-0.368441967,-0.368441967,11.2748538,11.2748538,0.514059853,0.514059853,7.50877193,7.50877193,0.5,-0.666666667,-0.666666667,0
3,3.650980392,1.181818182,0.742352941,0.054545455,0.157678953,0.068733409,-1.057406664,2.663615561,-0.50084866,-0.598859646,0.128382176,3.19771167,0.5,0.071428571,-0.333333333,1
4,-0.851503759,-1.311111111,2.67406015,3.686666667,-0.298803202,-0.3934424,-2.107142857,-4.132411067,0.49666119,-0.086284683,-2.970779221,-3.93083004,0.5,-0.166666667,0,0
5,-5.785947712,4.165441176,-3.589215686,1.956617647,-0.064760838,0.073658145,11.29765886,7.413043478,0.504299433,0.491053321,6.860869565,4.227536232,0.5,-0.266666667,0,1
6,6.227513228,8.671122995,1.684126984,3.543850267,0.225093888,0.218679103,-5.651821862,-9.64,-0.351831988,-1.593893103,-3.543724696,-4.133052632,0.5,0.071428571,0.333333333,1
7,1.845313157,10.41333333,1.950567465,8.176,-0.040923933,-0.021105982,4.711111111,-4.053221289,-0.081639505,-0.359333946,3.497272727,-2.267226891,0.5,0.125,0,1
8,-0.161290323,-5.034210526,1.664516129,-0.216315789,-0.14954045,-0.282453756,-4.373376623,-4.53030303,-0.336059238,-0.289432789,-3.202987013,-3.9,0.5,0.1,0.166666667,1
9,0.712566845,-4.34502924,0.110695187,-1.649122807,0.036943376,-0.154229074,3.595238095,5.625603865,0.929277194,0.380303603,0.94047619,3.630434783,0.5,-0.229166667,-0.333333333,0
10,5.287240729,8.986622074,1.817724701,6.630100334,0.144027145,0.000166733,3.291436865,2.103448276,0.887274473,-0.312003848,1.054049347,2.509482759,0.5,-0.291666667,-0.166666667,0
11,-2.282142857,-11.84897025,0.880714286,-3.513501144,-0.219772672,-0.429984383,7.462511292,14.49832776,1.071206137,1.061518585,3.202168022,8.55451505,0.5,-0.266666667,-0.333333333,0
12,2.346077128,15.42592593,1.79900266,10.76190476,0.00479458,0.022655345,7.174055233,-4.31547619,0.611544451,-0.666370922,4.160537791,-1.889285714,0,-0.03968254,0.333333333,1
13,1.351830664,-2.531772575,0.152745995,-1.720735786,0.075405842,-0.032422927,5.111111111,5.966666667,0.909586057,0.805400372,2.233333333,3.043333333,0.5,-0.2,-0.5,0
14,6.331111111,13.48989899,3.093333333,6.663636364,0.10879553,0.199676589,1.317988065,0.414855072,0.653700582,-0.6246087,-0.28797954,1.559782609,0.5,-0.158730159,0,1
15,-8.898644986,-15.27011494,-4.302113821,-8.211494253,-0.209902496,-0.376040827,12.2375,23.59230769,1.214585329,0.270957233,7.01875,17.42769231,0,-0.595238095,-0.833333333,0
16,-0.631808279,5.176630435,0.423529412,6.110869565,-0.067212085,-0.172109636,5.575757576,-5.333333333,0.10113728,-1.593723381,3.939037433,-1.201923077,0,0,0.5,0
17,-6.317375887,-10.66806723,-3.75035461,-7.637394958,-0.085491188,-0.012413015,4.364705882,5.898989899,0.752468074,0.843912627,2.10605042,2.882828283,0.5,-0.3875,-0.333333333,0
18,6.2,13.73099415,2.06775,10.29824561,0.171195977,-0.046110823,0.737492465,-1.872909699,-0.060930763,-1.575469961,0.712296564,1.564214047,0.5,-0.1,0,0
19,-0.410174881,5.6,-0.463593005,1,0.010957639,0.183092479,2.787545788,3.240802676,0.740229397,0.369400326,0.873783359,1.842140468,0,-0.194444444,0,1
20,-3.195488722,2.1,-0.393233083,2.29,-0.133623067,-0.048771195,-1.477199354,-6.744444444,0.075505153,-0.509184471,-1.307627119,-4.407777778,2,0.24025974,0.666666667,1
21,2.029166667,0.706293706,2.08,2.307692308,-0.032958144,-0.135871966,4.373015873,-6.784313725,0.381317668,-0.795799666,2.494047619,-3.394957983,0.5,0.055555556,0.333333333,1
22,10.93919169,14.86538462,5.094883204,8.096153846,0.231480447,0.248245163,-0.136185072,-4.148026316,0.074666654,0.048330107,-0.26556089,-3.4125,2,0.041666667,0.333333333,1
23,-1.468334006,-5.385281385,1.160548608,0.592207792,-0.1798245,-0.374734086,-5.915343915,-22.69047619,-0.820589459,-2.261701135,-2.336507937,-10.39285714,2,0.3,0.666666667,0
24,-1.820952381,-9.48,0.870285714,-2.232,-0.184094872,-0.518280115,-1.389915966,-8.666666667,-0.350976363,-1.74209978,-0.249327731,-2.78,0.5,0.128787879,0,1
25,1.995424837,-7.402255639,-0.469803922,-5.92556391,0.129677483,0.042111594,0.609213918,3.260869565,-0.141806723,0.016792407,0.757731959,2.371167048,-0.5,-0.274038462,-0.666666667,1
26,-2.857304501,-7.017482517,-1.029218004,-2.798601399,-0.101987638,-0.248401208,-1.878947368,1.717171717,-0.91454501,-0.939942702,0.440247678,3.196969697,2,0.15034965,0,0
27,-3.501661475,-9.74689441,-1.235140187,-3.134161491,-0.128321256,-0.416706175,-0.621030258,1.462121212,-0.650955135,-0.229009412,0.812753188,1.436363636,0.5,0.05952381,-0.333333333,0
28,8.118330849,9.193760263,4.20804769,4.866995074,0.182500002,0.28185976,-10.63221306,-12.99358974,-0.974530294,-0.393084455,-6.24445149,-9.257692308,1.5,0.564285714,0.666666667,1
29,3.716770186,10.85457271,1.143513753,3.577511244,0.149873447,0.444037124,0.041289235,-3.173913043,0.408224473,-1.152658463,-0.759132083,-0.156521739,0.666666667,0.017948718,0.666666667,1
30,-10.39514936,-16.66300366,-5.325288376,-9.457142857,-0.173014999,-0.278680441,5.909505357,3.289473684,0.574728034,0.361658336,3.382676088,2.175,0.5,-0.214285714,-0.333333333,1
31,5.390909091,8.99,3.343636364,3.162,0.056436715,0.326509147,-4.013282732,-4.558823529,-0.173042439,-0.689755003,-3.038330171,-2.263235294,2,0.238636364,0.333333333,1
32,5.686857877,6.20173913,3.471960616,1.196869565,0.069638612,0.326526842,-4.146382691,-2.068888889,-0.204002678,0.051541822,-3.093509128,-1.890666667,1.5,0.319444444,0.333333333,0
33,4.172459639,3.919354839,3.163304843,4.197360704,0.038664284,-0.013348589,-6.087751938,-13.62647059,-0.705655914,-2.321964038,-2.884837209,-5.765294118,2,0.333333333,0.666666667,1
34,-3.228287841,-1.508928571,-1.372332506,-1.826785714,-0.101106267,0.036263417,-2.207219251,12.55555556,-0.07407565,2.359823988,-1.494385027,4.733333333,0,-0.09375,-0.666666667,1
