,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Face To Face Win Diff,Team1 Name,Team1 No Of Matches,Team2 Name,Team2 No Of Matches,Win Percentage All,Win Percentage Rec
0,5.823863636363637,5.823863636363637,2.1852272727272744,2.1852272727272744,0.2725684095760667,0.2725684095760667,-3.0175438596491233,-3.0175438596491233,1.6865397844531067,1.6865397844531067,-5.421052631578947,-5.421052631578947,1.0,0.5,Australia,3,South Africa,2,0.5,0.5
1,-13.350877192982457,-13.350877192982457,-6.183458646616543,-6.183458646616543,-0.4033687943262409,-0.4033687943262409,20.624521072796938,20.624521072796938,0.7385507246376815,0.7385507246376815,13.103448275862071,13.103448275862071,1.0,0.0,South Africa,3,Australia,4,-0.6666666666666666,-0.6666666666666666
2,3.2310606060606055,3.2310606060606055,3.559090909090911,3.559090909090911,-0.09395512591001316,-0.09395512591001316,-5.847826086956523,-5.847826086956523,-0.09281186877481407,-0.09281186877481407,-4.3130434782608695,-4.3130434782608695,0.0,0.5,New Zealand,4,Sri Lanka,2,-0.5,-0.5
3,-0.09375,0.18181818181818343,1.8125000000000009,2.995454545454547,-0.18249889909465708,-0.2569954101721768,-0.48214285714285765,-5.646616541353385,0.19699767582539884,-0.8847741343728499,-0.7749999999999986,-2.7473684210526335,1.0,0.0,New Zealand,5,Sri Lanka,3,-0.625,-0.5
4,3.765567765567763,0.1904761904761898,0.09230769230769464,-1.4857142857142858,0.21588416787479994,0.1372812806714725,5.043123543123542,6.215719063545151,1.0325513454975894,0.9497678345293377,2.1335664335664295,3.1153846153846136,1.0,0.0,Australia,5,England,4,0.16666666666666669,0.0
5,5.033333333333335,4.272727272727273,0.9050000000000029,1.2613636363636376,0.26436082047032006,0.18924744178551287,5.910394265232975,11.507936507936508,2.2653491776457404,3.0518827249209544,0.6946236559139791,3.1619047619047613,0.0,0.5,England,5,West Indies,2,-0.25,-0.5
6,1.371621621621621,-0.8333333333333321,1.1543918918918932,-0.03749999999999787,-0.00857264025202964,-0.053357220750895884,1.64903846153846,10.819078947368421,1.1196645140967076,2.2334004024144862,-0.7461538461538435,3.2368421052631593,1.0,0.0,England,6,West Indies,3,-0.55,-0.75
7,-0.8333333333333321,-0.8333333333333321,-0.10000000000000231,-0.10000000000000231,-0.04015151515151505,-0.04015151515151505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Bangladesh,2,Pakistan,2,0.0,0.0
8,-8.576923076923077,-8.576923076923077,-2.4692307692307685,-2.4692307692307685,-0.3381244971106723,-0.3381244971106723,3.6000000000000014,3.6000000000000014,0.46224489795918444,0.46224489795918444,1.8199999999999967,1.8199999999999967,0.0,0.5,Kenya,2,Pakistan,3,-1.0,-1.0
9,-4.699488491048594,-3.35144927536232,-1.8122762148337577,-0.9902173913043475,-0.1689134420392381,-0.1415319504933444,10.297619047619047,12.514285714285716,0.5534713372958233,0.9256228088505019,6.237142857142856,6.77714285714286,1.0,0.5,South Africa,5,West Indies,4,-0.25,-0.16666666666666669
10,-6.084084084084083,-5.111111111111111,-2.3891891891891914,-2.6818181818181834,-0.2533661163798149,-0.16952805648457803,10.455882352941178,13.539473684210526,-0.16221728207913078,0.7365122171677507,8.801470588235293,9.619736842105265,0.0,0.5,Kenya,3,New Zealand,6,-0.5,-0.5
11,-0.8435013262599469,-2.79020979020979,0.8816976127320961,1.0867132867132865,-0.12119651369741528,-0.26045009198648,-6.808695652173913,-13.999999999999996,-0.30468100512215557,-1.162588044067185,-4.1721739130434745,-6.919999999999997,1.0,0.5,Bangladesh,3,West Indies,5,0.125,0.16666666666666669
12,-0.2142857142857153,-1.0454545454545467,-2.728571428571427,-3.5181818181818185,0.17077272528720563,0.18294390478690822,7.256521739130434,14.061904761904763,1.7500046256036415,2.925170068027211,2.6269565217391295,5.040000000000001,1.0,0.5,England,7,Zimbabwe,2,-0.6666666666666667,-0.6666666666666667
13,-4.262987012987013,-4.262987012987013,0.1051948051948064,0.1051948051948064,-0.3684419669806882,-0.3684419669806882,11.274853801169591,11.274853801169591,0.5140598531902878,0.5140598531902878,7.508771929824562,7.508771929824562,0.0,0.5,Kenya,4,Sri Lanka,4,-0.6666666666666666,-0.6666666666666666
14,3.6509803921568604,1.1818181818181834,0.7423529411764722,0.05454545454545556,0.15767895333835527,0.0687334091770951,-1.0574066639903634,2.663615560640732,-0.500848660229833,-0.5988596460730804,0.1283821758329955,3.1977116704805475,1.0,0.5,Australia,7,England,8,0.07142857142857145,-0.3333333333333333
15,-0.9250000000000007,-0.010526315789473273,5.799999999999998,6.7263157894736825,-0.3792856449106449,-0.40059246309246294,-2.2571428571428562,-0.9142857142857128,-0.27920771381536014,-0.06506192220477924,-1.6285714285714268,-0.7757142857142854,0.5,0.5,India,2,Pakistan,5,0.0,0.0
16,-0.8515037593984935,-1.3111111111111136,2.6740601503759427,3.68666666666667,-0.29880320202900873,-0.3934424000802115,-2.1071428571428577,-4.132411067193676,0.4966611897539597,-0.08628468305887527,-2.970779220779219,-3.9308300395256937,0.0,0.5,New Zealand,7,Sri Lanka,5,-0.16666666666666663,0.0
