,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Face To Face Win Diff,Win Percentage All,Win Percentage Rec,Current Winner
58,1.366314233,-6.05,0.958173917,-3.5175,0.007051842,-0.062873427,2.245616606,0,0.151869462,-1.232732001,1.419223443,2.733333333,0.444444444,-0.022209436,-0.333333333,0
59,0.102251258,-9.242352941,0.402863582,-5.793882353,-0.022036986,-0.182973899,8.036841771,5.197619048,1.085307717,1.473470543,3.626964365,0.811428571,0.5,-0.353896104,-0.666666667,0
60,-0.027101335,-9.909090909,0.307109191,-7.920779221,-0.023081325,-0.050944349,7.985014653,4.253132832,1.054389892,0.826711474,3.634985951,1.610526316,0,-0.37525355,-1,0
61,0.876549852,-0.001976285,0.618689932,1.166798419,0.006482223,-0.107560568,-1.897543135,-15.84545455,-0.314113628,-1.233894225,-0.811568093,-7.632727273,0.833333333,0.115384615,-0.333333333,1
62,1.330201422,9.333333333,0.912732227,6.844444444,0.011312632,-0.047010674,-2.299818206,-24.30285714,-0.335859543,-1.808818057,-1.078925004,-11.22685714,0.857142857,0.128787879,0,0
63,-1.629802113,-7.383333333,-1.512462431,-4.17,0.007122393,-0.152717517,-2.190966311,1.732142857,-0.393026775,-0.678343502,-0.622906671,3.375,0.5,0.059340659,0.333333333,1
64,-1.289726027,-7.048309179,-1.259823875,-3.020289855,0.010165087,-0.255261661,-2.593860319,-6.661184211,-0.407786226,-1.023046398,-0.904035874,-2.526315789,0.666666667,0.083333333,0.333333333,0
65,-1.830808081,-0.696363636,-1.334090909,-1.621090909,-0.037937802,0.061444137,-3.843434343,2.297385621,0.183906165,1.184121119,-4.027272727,-1.117647059,0,0.222222222,0,0
66,2.339467567,8.55,0.40129171,3.04,0.104445097,0.272225328,4.214098332,3.125,0.834385698,1.744359614,1.476606257,-0.8,0.5,-0.119318182,0,1
67,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,-0.5,0,-0.666666667,1
68,2.544526902,12.26888889,0.558998145,5.488,0.104966005,0.306122449,3.918111021,-2.493730408,0.815254533,1.359810111,1.287661683,-4.532915361,0.545454545,-0.105510235,0.333333333,1
69,1.18946749,10.45,-1.186584289,5.12,0.146187923,0.212920525,-0.55257732,-5.232954545,0.370844192,0.300782197,-1.44,-4.936363636,2,0.166666667,0.666666667,1
70,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,0,-0.111940299,0.333333333,1
71,0.917460317,17.8,0.3,10.90285714,0.034357635,0.178136106,-7.239558727,1.761904762,-0.944307246,0.307976622,-3.344494145,0.685714286,1.5,0.391455972,0.666666667,1
72,-1.489100093,2.893478261,-1.268201268,2.330869565,0.005195201,-0.025067469,2.290175699,-3.482683983,0.469261117,-0.576530933,0.757311197,-1.364935065,0.083333333,-0.09653092,0.333333333,1
73,0.996014448,14.07294118,0.28539046,6.629647059,0.039960876,0.309483248,-7.067548551,2.47826087,-0.936352714,0.620642728,-3.220714889,0.67826087,1.333333333,0.409539474,0.666666667,1
74,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,-0.181818182,-0.092897328,0.666666667,0
75,-1.247378626,-1.896923077,-1.140814386,-0.807692308,0.004192286,-0.072484362,-2.290890269,-3.752964427,-0.487742437,-1.737838971,-0.486956522,0.588142292,0.25,0.06441526,0,1
76,0.251655629,12.15277778,-0.499128078,5.308333333,0.051021405,0.280612245,3.298961313,-1.256410256,0.677955612,0.119047619,1.125575794,-1.130769231,-0.25,-0.10364011,0.333333333,1
77,-1.201305292,0.258181818,-1.088641835,1.312363636,0.003609726,-0.093077452,-2.305262541,-10.51,-0.478175808,-2.303749911,-0.526265823,-3.294,0.4,0.086904762,0.666666667,1
