,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,1,JM Anderson,2009-11-27,1st,GC Smith,0,,HM Amla,1,South Africa,England,1,South Africa,Newlands,0,South Africa
1,0.2,2,JM Anderson,2009-11-27,1st,HM Amla,1,,GC Smith,2,South Africa,England,3,South Africa,Newlands,0,South Africa
2,0.3,0,JM Anderson,2009-11-27,1st,HM Amla,1,,GC Smith,2,South Africa,England,3,South Africa,Newlands,0,South Africa
3,0.4,0,JM Anderson,2009-11-27,1st,HM Amla,1,,GC Smith,2,South Africa,England,3,South Africa,Newlands,0,South Africa
4,0.5,0,JM Anderson,2009-11-27,1st,HM Amla,1,,GC Smith,2,South Africa,England,3,South Africa,Newlands,0,South Africa
5,0.6,0,JM Anderson,2009-11-27,1st,HM Amla,1,,GC Smith,2,South Africa,England,3,South Africa,Newlands,0,South Africa
6,1.1,4,SCJ Broad,2009-11-27,1st,GC Smith,2,,HM Amla,5,South Africa,England,7,South Africa,Newlands,0,South Africa
7,1.2,0,SCJ Broad,2009-11-27,1st,GC Smith,2,,HM Amla,5,South Africa,England,7,South Africa,Newlands,0,South Africa
8,1.3,0,SCJ Broad,2009-11-27,1st,GC Smith,2,,HM Amla,5,South Africa,England,7,South Africa,Newlands,0,South Africa
9,1.4,0,SCJ Broad,2009-11-27,1st,GC Smith,2,,HM Amla,5,South Africa,England,7,South Africa,Newlands,0,South Africa
10,1.5,0,SCJ Broad,2009-11-27,1st,GC Smith,2,,HM Amla,5,South Africa,England,7,South Africa,Newlands,0,South Africa
11,1.6,0,SCJ Broad,2009-11-27,1st,GC Smith,2,,HM Amla,5,South Africa,England,7,South Africa,Newlands,0,South Africa
12,2.1,4,JM Anderson,2009-11-27,1st,HM Amla,5,,GC Smith,6,South Africa,England,11,South Africa,Newlands,0,South Africa
13,2.2,0,JM Anderson,2009-11-27,1st,HM Amla,5,,GC Smith,6,South Africa,England,12,South Africa,Newlands,0,South Africa
14,2.3,0,JM Anderson,2009-11-27,1st,HM Amla,5,,GC Smith,6,South Africa,England,12,South Africa,Newlands,0,South Africa
15,2.4,2,JM Anderson,2009-11-27,1st,HM Amla,5,,GC Smith,8,South Africa,England,14,South Africa,Newlands,0,South Africa
16,2.5,0,JM Anderson,2009-11-27,1st,HM Amla,5,,GC Smith,8,South Africa,England,14,South Africa,Newlands,0,South Africa
17,2.6,0,JM Anderson,2009-11-27,1st,HM Amla,5,,GC Smith,8,South Africa,England,14,South Africa,Newlands,0,South Africa
18,2.7,0,JM Anderson,2009-11-27,1st,HM Amla,5,,GC Smith,8,South Africa,England,14,South Africa,Newlands,0,South Africa
19,3.1,4,SCJ Broad,2009-11-27,1st,GC Smith,8,,HM Amla,9,South Africa,England,18,South Africa,Newlands,0,South Africa
20,3.2,4,SCJ Broad,2009-11-27,1st,GC Smith,8,,HM Amla,13,South Africa,England,22,South Africa,Newlands,0,South Africa
21,3.3,0,SCJ Broad,2009-11-27,1st,GC Smith,8,,HM Amla,13,South Africa,England,22,South Africa,Newlands,0,South Africa
22,3.4,0,SCJ Broad,2009-11-27,1st,GC Smith,8,,HM Amla,13,South Africa,England,22,South Africa,Newlands,0,South Africa
23,3.5,0,SCJ Broad,2009-11-27,1st,GC Smith,8,,HM Amla,13,South Africa,England,22,South Africa,Newlands,0,South Africa
24,3.6,1,SCJ Broad,2009-11-27,1st,GC Smith,8,,HM Amla,14,South Africa,England,23,South Africa,Newlands,0,South Africa
25,4.1,0,JM Anderson,2009-11-27,1st,GC Smith,8,,HM Amla,14,South Africa,England,23,South Africa,Newlands,0,South Africa
26,4.2,1,JM Anderson,2009-11-27,1st,GC Smith,8,,HM Amla,15,South Africa,England,24,South Africa,Newlands,0,South Africa
27,4.3,3,JM Anderson,2009-11-27,1st,HM Amla,15,,GC Smith,11,South Africa,England,27,South Africa,Newlands,0,South Africa
28,4.4,2,JM Anderson,2009-11-27,1st,GC Smith,11,,HM Amla,17,South Africa,England,29,South Africa,Newlands,0,South Africa
29,4.5,0,JM Anderson,2009-11-27,1st,GC Smith,11,,HM Amla,17,South Africa,England,29,South Africa,Newlands,0,South Africa
30,4.6,1,JM Anderson,2009-11-27,1st,GC Smith,11,,HM Amla,18,South Africa,England,30,South Africa,Newlands,0,South Africa
