,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,1,KD Mills,2009-03-14,1st,V Sehwag,0,,G Gambhir,1,New Zealand,India,1,India,Eden Park,0,New Zealand
1,0.2,0,KD Mills,2009-03-14,1st,G Gambhir,1,,V Sehwag,0,New Zealand,India,1,India,Eden Park,0,New Zealand
2,0.3,6,KD Mills,2009-03-14,1st,G Gambhir,1,,V Sehwag,6,New Zealand,India,7,India,Eden Park,0,New Zealand
3,0.4,1,KD Mills,2009-03-14,1st,G Gambhir,1,,V Sehwag,7,New Zealand,India,8,India,Eden Park,0,New Zealand
4,0.5,0,KD Mills,2009-03-14,1st,V Sehwag,7,,G Gambhir,1,New Zealand,India,8,India,Eden Park,0,New Zealand
5,0.6,0,KD Mills,2009-03-14,1st,V Sehwag,7,,G Gambhir,1,New Zealand,India,8,India,Eden Park,0,New Zealand
6,1.1,0,IE O'Brien,2009-03-14,1st,G Gambhir,1,,V Sehwag,7,New Zealand,India,10,India,Eden Park,0,New Zealand
7,1.2,0,IE O'Brien,2009-03-14,1st,V Sehwag,7,,G Gambhir,1,New Zealand,India,10,India,Eden Park,0,New Zealand
8,1.3,0,IE O'Brien,2009-03-14,1st,V Sehwag,7,,G Gambhir,1,New Zealand,India,10,India,Eden Park,0,New Zealand
9,1.4,1,IE O'Brien,2009-03-14,1st,V Sehwag,7,,G Gambhir,2,New Zealand,India,11,India,Eden Park,0,New Zealand
10,1.5,0,IE O'Brien,2009-03-14,1st,G Gambhir,2,,V Sehwag,7,New Zealand,India,11,India,Eden Park,0,New Zealand
11,1.6,0,IE O'Brien,2009-03-14,1st,G Gambhir,2,,V Sehwag,7,New Zealand,India,11,India,Eden Park,0,New Zealand
12,1.7,0,IE O'Brien,2009-03-14,1st,G Gambhir,2,,V Sehwag,7,New Zealand,India,11,India,Eden Park,0,New Zealand
13,2.1,0,KD Mills,2009-03-14,1st,V Sehwag,7,,G Gambhir,2,New Zealand,India,11,India,Eden Park,0,New Zealand
14,2.2,0,KD Mills,2009-03-14,1st,V Sehwag,7,,G Gambhir,2,New Zealand,India,11,India,Eden Park,0,New Zealand
15,2.3,0,KD Mills,2009-03-14,1st,V Sehwag,7,,G Gambhir,2,New Zealand,India,11,India,Eden Park,0,New Zealand
16,2.4,0,KD Mills,2009-03-14,1st,V Sehwag,7,,G Gambhir,2,New Zealand,India,11,India,Eden Park,0,New Zealand
17,2.5,0,KD Mills,2009-03-14,1st,V Sehwag,7,,G Gambhir,2,New Zealand,India,11,India,Eden Park,0,New Zealand
18,2.6,1,KD Mills,2009-03-14,1st,V Sehwag,7,,G Gambhir,3,New Zealand,India,12,India,Eden Park,0,New Zealand
19,3.1,0,IE O'Brien,2009-03-14,1st,V Sehwag,7,,G Gambhir,3,New Zealand,India,12,India,Eden Park,0,New Zealand
20,3.2,1,IE O'Brien,2009-03-14,1st,V Sehwag,7,,G Gambhir,4,New Zealand,India,13,India,Eden Park,0,New Zealand
21,3.3,0,IE O'Brien,2009-03-14,1st,G Gambhir,4,,V Sehwag,7,New Zealand,India,15,India,Eden Park,0,New Zealand
22,3.4,0,IE O'Brien,2009-03-14,1st,G Gambhir,4,,V Sehwag,7,New Zealand,India,16,India,Eden Park,0,New Zealand
23,3.5,0,IE O'Brien,2009-03-14,1st,G Gambhir,4,,V Sehwag,7,New Zealand,India,16,India,Eden Park,0,New Zealand
24,3.6,4,IE O'Brien,2009-03-14,1st,G Gambhir,4,,V Sehwag,11,New Zealand,India,20,India,Eden Park,0,New Zealand
25,3.7,2,IE O'Brien,2009-03-14,1st,G Gambhir,4,,V Sehwag,13,New Zealand,India,22,India,Eden Park,0,New Zealand
26,4.1,1,KD Mills,2009-03-14,1st,V Sehwag,13,,G Gambhir,5,New Zealand,India,23,India,Eden Park,0,New Zealand
27,4.2,0,KD Mills,2009-03-14,1st,G Gambhir,5,,V Sehwag,13,New Zealand,India,23,India,Eden Park,0,New Zealand
28,4.3,6,KD Mills,2009-03-14,1st,G Gambhir,5,,V Sehwag,19,New Zealand,India,29,India,Eden Park,0,New Zealand
29,4.4,0,KD Mills,2009-03-14,1st,G Gambhir,5,,V Sehwag,19,New Zealand,India,30,India,Eden Park,0,New Zealand
30,4.5,0,KD Mills,2009-03-14,1st,V Sehwag,19,G Gambhir,G Gambhir,5,New Zealand,India,30,India,Eden Park,1,New Zealand
31,4.6,1,KD Mills,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,31,India,Eden Park,1,New Zealand
32,5.1,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,32,India,Eden Park,1,New Zealand
33,5.2,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,32,India,Eden Park,1,New Zealand
34,5.3,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,33,India,Eden Park,1,New Zealand
35,5.4,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,34,India,Eden Park,1,New Zealand
36,5.5,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,34,India,Eden Park,1,New Zealand
37,5.6,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,34,India,Eden Park,1,New Zealand
38,5.7,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,34,India,Eden Park,1,New Zealand
39,5.8,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,34,India,Eden Park,1,New Zealand
40,5.9,0,IE O'Brien,2009-03-14,1st,V Sehwag,19,,SK Raina,1,New Zealand,India,38,India,Eden Park,1,New Zealand
41,6.1,0,KD Mills,2009-03-14,1st,SK Raina,1,,V Sehwag,19,New Zealand,India,38,India,Eden Park,1,New Zealand
42,6.2,0,KD Mills,2009-03-14,1st,SK Raina,1,,V Sehwag,19,New Zealand,India,39,India,Eden Park,1,New Zealand
43,6.3,1,KD Mills,2009-03-14,1st,SK Raina,1,,V Sehwag,20,New Zealand,India,40,India,Eden Park,1,New Zealand
44,6.4,0,KD Mills,2009-03-14,1st,V Sehwag,20,,SK Raina,1,New Zealand,India,40,India,Eden Park,1,New Zealand
45,6.5,0,KD Mills,2009-03-14,1st,V Sehwag,20,,SK Raina,1,New Zealand,India,40,India,Eden Park,1,New Zealand
46,6.6,0,KD Mills,2009-03-14,1st,V Sehwag,20,,SK Raina,1,New Zealand,India,40,India,Eden Park,1,New Zealand
47,6.7,1,KD Mills,2009-03-14,1st,V Sehwag,20,,SK Raina,2,New Zealand,India,41,India,Eden Park,1,New Zealand
48,7.1,4,IE O'Brien,2009-03-14,1st,V Sehwag,20,,SK Raina,6,New Zealand,India,45,India,Eden Park,1,New Zealand
