,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,Z Khan,2011-01-23,1st,HM Amla,0,,GC Smith,0,South Africa,India,0,India,SuperSport Park,0,South Africa
1,0.2,0,Z Khan,2011-01-23,1st,HM Amla,0,,GC Smith,0,South Africa,India,0,India,SuperSport Park,0,South Africa
2,0.3,1,Z Khan,2011-01-23,1st,HM Amla,0,,GC Smith,1,South Africa,India,1,India,SuperSport Park,0,South Africa
3,0.4,1,Z Khan,2011-01-23,1st,GC Smith,1,,HM Amla,1,South Africa,India,2,India,SuperSport Park,0,South Africa
4,0.5,1,Z Khan,2011-01-23,1st,HM Amla,1,,GC Smith,2,South Africa,India,3,India,SuperSport Park,0,South Africa
5,0.6,0,Z Khan,2011-01-23,1st,GC Smith,2,,HM Amla,1,South Africa,India,3,India,SuperSport Park,0,South Africa
6,1.1,4,MM Patel,2011-01-23,1st,HM Amla,1,,GC Smith,6,South Africa,India,7,India,SuperSport Park,0,South Africa
7,1.2,0,MM Patel,2011-01-23,1st,HM Amla,1,,GC Smith,6,South Africa,India,7,India,SuperSport Park,0,South Africa
8,1.3,0,MM Patel,2011-01-23,1st,HM Amla,1,,GC Smith,6,South Africa,India,7,India,SuperSport Park,0,South Africa
9,1.4,1,MM Patel,2011-01-23,1st,HM Amla,1,,GC Smith,7,South Africa,India,8,India,SuperSport Park,0,South Africa
10,1.5,4,MM Patel,2011-01-23,1st,GC Smith,7,,HM Amla,5,South Africa,India,12,India,SuperSport Park,0,South Africa
11,1.6,0,MM Patel,2011-01-23,1st,GC Smith,7,,HM Amla,5,South Africa,India,16,India,SuperSport Park,0,South Africa
12,2.1,0,Z Khan,2011-01-23,1st,HM Amla,5,,GC Smith,7,South Africa,India,16,India,SuperSport Park,0,South Africa
13,2.2,0,Z Khan,2011-01-23,1st,HM Amla,5,,GC Smith,7,South Africa,India,16,India,SuperSport Park,0,South Africa
14,2.3,0,Z Khan,2011-01-23,1st,HM Amla,5,GC Smith,GC Smith,7,South Africa,India,16,India,SuperSport Park,1,South Africa
15,2.4,0,Z Khan,2011-01-23,1st,HM Amla,5,,MN van Wyk,0,South Africa,India,16,India,SuperSport Park,1,South Africa
16,2.5,0,Z Khan,2011-01-23,1st,HM Amla,5,,MN van Wyk,0,South Africa,India,17,India,SuperSport Park,1,South Africa
17,2.6,0,Z Khan,2011-01-23,1st,MN van Wyk,0,,HM Amla,5,South Africa,India,17,India,SuperSport Park,1,South Africa
18,3.1,4,MM Patel,2011-01-23,1st,HM Amla,5,,MN van Wyk,4,South Africa,India,21,India,SuperSport Park,1,South Africa
19,3.2,0,MM Patel,2011-01-23,1st,HM Amla,5,,MN van Wyk,4,South Africa,India,21,India,SuperSport Park,1,South Africa
20,3.3,0,MM Patel,2011-01-23,1st,HM Amla,5,,MN van Wyk,4,South Africa,India,21,India,SuperSport Park,1,South Africa
21,3.4,0,MM Patel,2011-01-23,1st,HM Amla,5,,MN van Wyk,4,South Africa,India,21,India,SuperSport Park,1,South Africa
22,3.5,0,MM Patel,2011-01-23,1st,HM Amla,5,,MN van Wyk,4,South Africa,India,21,India,SuperSport Park,1,South Africa
23,3.6,2,MM Patel,2011-01-23,1st,HM Amla,5,,MN van Wyk,6,South Africa,India,23,India,SuperSport Park,1,South Africa
24,4.1,0,Z Khan,2011-01-23,1st,MN van Wyk,6,,HM Amla,5,South Africa,India,23,India,SuperSport Park,1,South Africa
25,4.2,0,Z Khan,2011-01-23,1st,MN van Wyk,6,,HM Amla,5,South Africa,India,23,India,SuperSport Park,1,South Africa
26,4.3,0,Z Khan,2011-01-23,1st,MN van Wyk,6,,HM Amla,5,South Africa,India,23,India,SuperSport Park,1,South Africa
27,4.4,4,Z Khan,2011-01-23,1st,MN van Wyk,6,,HM Amla,9,South Africa,India,27,India,SuperSport Park,1,South Africa
28,4.5,4,Z Khan,2011-01-23,1st,MN van Wyk,6,,HM Amla,13,South Africa,India,31,India,SuperSport Park,1,South Africa
29,4.6,1,Z Khan,2011-01-23,1st,MN van Wyk,6,,HM Amla,14,South Africa,India,32,India,SuperSport Park,1,South Africa
30,5.1,0,MM Patel,2011-01-23,1st,MN van Wyk,6,,HM Amla,14,South Africa,India,32,India,SuperSport Park,1,South Africa
31,5.2,0,MM Patel,2011-01-23,1st,MN van Wyk,6,,HM Amla,14,South Africa,India,32,India,SuperSport Park,1,South Africa
32,5.3,2,MM Patel,2011-01-23,1st,MN van Wyk,6,,HM Amla,16,South Africa,India,34,India,SuperSport Park,1,South Africa
33,5.4,0,MM Patel,2011-01-23,1st,MN van Wyk,6,,HM Amla,16,South Africa,India,34,India,SuperSport Park,1,South Africa
34,5.5,0,MM Patel,2011-01-23,1st,MN van Wyk,6,,HM Amla,16,South Africa,India,34,India,SuperSport Park,1,South Africa
35,5.6,0,MM Patel,2011-01-23,1st,MN van Wyk,6,,HM Amla,16,South Africa,India,34,India,SuperSport Park,1,South Africa
36,6.1,1,Z Khan,2011-01-23,1st,HM Amla,16,,MN van Wyk,7,South Africa,India,35,India,SuperSport Park,1,South Africa
37,6.2,4,Z Khan,2011-01-23,1st,MN van Wyk,7,,HM Amla,20,South Africa,India,39,India,SuperSport Park,1,South Africa
38,6.3,0,Z Khan,2011-01-23,1st,MN van Wyk,7,,HM Amla,20,South Africa,India,39,India,SuperSport Park,1,South Africa
39,6.4,0,Z Khan,2011-01-23,1st,MN van Wyk,7,,HM Amla,20,South Africa,India,39,India,SuperSport Park,1,South Africa
40,6.5,0,Z Khan,2011-01-23,1st,MN van Wyk,7,,HM Amla,20,South Africa,India,39,India,SuperSport Park,1,South Africa
41,6.6,0,Z Khan,2011-01-23,1st,MN van Wyk,7,,HM Amla,20,South Africa,India,39,India,SuperSport Park,1,South Africa
42,7.1,0,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,7,South Africa,India,39,India,SuperSport Park,1,South Africa
43,7.2,0,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,7,South Africa,India,39,India,SuperSport Park,1,South Africa
44,7.3,0,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,7,South Africa,India,39,India,SuperSport Park,1,South Africa
45,7.4,1,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,8,South Africa,India,40,India,SuperSport Park,1,South Africa
46,7.5,0,MM Patel,2011-01-23,1st,MN van Wyk,8,,HM Amla,20,South Africa,India,40,India,SuperSport Park,1,South Africa
47,7.6,0,MM Patel,2011-01-23,1st,MN van Wyk,8,,HM Amla,20,South Africa,India,40,India,SuperSport Park,1,South Africa
48,8.1,4,PP Chawla,2011-01-23,1st,HM Amla,20,,MN van Wyk,12,South Africa,India,44,India,SuperSport Park,1,South Africa
49,8.2,0,PP Chawla,2011-01-23,1st,HM Amla,20,,MN van Wyk,12,South Africa,India,44,India,SuperSport Park,1,South Africa
50,8.3,0,PP Chawla,2011-01-23,1st,HM Amla,20,,MN van Wyk,12,South Africa,India,44,India,SuperSport Park,1,South Africa
51,8.4,0,PP Chawla,2011-01-23,1st,HM Amla,20,,MN van Wyk,12,South Africa,India,44,India,SuperSport Park,1,South Africa
52,8.5,0,PP Chawla,2011-01-23,1st,HM Amla,20,,MN van Wyk,12,South Africa,India,44,India,SuperSport Park,1,South Africa
53,8.6,1,PP Chawla,2011-01-23,1st,HM Amla,20,,MN van Wyk,13,South Africa,India,45,India,SuperSport Park,1,South Africa
54,9.1,4,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,17,South Africa,India,49,India,SuperSport Park,1,South Africa
55,9.2,0,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,17,South Africa,India,49,India,SuperSport Park,1,South Africa
56,9.3,0,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,17,South Africa,India,49,India,SuperSport Park,1,South Africa
57,9.4,0,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,17,South Africa,India,49,India,SuperSport Park,1,South Africa
58,9.5,4,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,21,South Africa,India,53,India,SuperSport Park,1,South Africa
59,9.6,0,MM Patel,2011-01-23,1st,HM Amla,20,,MN van Wyk,21,South Africa,India,53,India,SuperSport Park,1,South Africa
60,10.1,1,PP Chawla,2011-01-23,1st,MN van Wyk,21,,HM Amla,21,South Africa,India,54,India,SuperSport Park,1,South Africa
61,10.2,1,PP Chawla,2011-01-23,1st,HM Amla,21,,MN van Wyk,22,South Africa,India,55,India,SuperSport Park,1,South Africa
62,10.3,1,PP Chawla,2011-01-23,1st,MN van Wyk,22,,HM Amla,22,South Africa,India,56,India,SuperSport Park,1,South Africa
63,10.4,4,PP Chawla,2011-01-23,1st,HM Amla,22,,MN van Wyk,26,South Africa,India,60,India,SuperSport Park,1,South Africa
64,10.5,0,PP Chawla,2011-01-23,1st,HM Amla,22,,MN van Wyk,26,South Africa,India,60,India,SuperSport Park,1,South Africa
65,10.6,0,PP Chawla,2011-01-23,1st,HM Amla,22,,MN van Wyk,26,South Africa,India,60,India,SuperSport Park,1,South Africa
66,11.1,1,Harbhajan Singh,2011-01-23,1st,MN van Wyk,26,,HM Amla,23,South Africa,India,61,India,SuperSport Park,1,South Africa
67,11.2,0,Harbhajan Singh,2011-01-23,1st,HM Amla,23,,MN van Wyk,26,South Africa,India,61,India,SuperSport Park,1,South Africa
68,11.3,1,Harbhajan Singh,2011-01-23,1st,HM Amla,23,,MN van Wyk,27,South Africa,India,62,India,SuperSport Park,1,South Africa
69,11.4,1,Harbhajan Singh,2011-01-23,1st,MN van Wyk,27,,HM Amla,24,South Africa,India,63,India,SuperSport Park,1,South Africa
70,11.5,1,Harbhajan Singh,2011-01-23,1st,HM Amla,24,,MN van Wyk,28,South Africa,India,64,India,SuperSport Park,1,South Africa
71,11.6,1,Harbhajan Singh,2011-01-23,1st,MN van Wyk,28,,HM Amla,25,South Africa,India,65,India,SuperSport Park,1,South Africa
72,12.1,0,YK Pathan,2011-01-23,1st,MN van Wyk,28,,HM Amla,25,South Africa,India,66,India,SuperSport Park,1,South Africa
73,12.2,0,YK Pathan,2011-01-23,1st,MN van Wyk,28,,HM Amla,25,South Africa,India,66,India,SuperSport Park,1,South Africa
74,12.3,1,YK Pathan,2011-01-23,1st,MN van Wyk,28,,HM Amla,26,South Africa,India,67,India,SuperSport Park,1,South Africa
75,12.4,0,YK Pathan,2011-01-23,1st,HM Amla,26,,MN van Wyk,28,South Africa,India,67,India,SuperSport Park,1,South Africa
76,12.5,1,YK Pathan,2011-01-23,1st,HM Amla,26,,MN van Wyk,29,South Africa,India,68,India,SuperSport Park,1,South Africa
77,12.6,1,YK Pathan,2011-01-23,1st,MN van Wyk,29,,HM Amla,27,South Africa,India,69,India,SuperSport Park,1,South Africa
78,12.7,0,YK Pathan,2011-01-23,1st,HM Amla,27,,MN van Wyk,29,South Africa,India,69,India,SuperSport Park,1,South Africa
79,13.1,0,Harbhajan Singh,2011-01-23,1st,MN van Wyk,29,,HM Amla,27,South Africa,India,69,India,SuperSport Park,1,South Africa
80,13.2,1,Harbhajan Singh,2011-01-23,1st,MN van Wyk,29,,HM Amla,28,South Africa,India,70,India,SuperSport Park,1,South Africa
81,13.3,1,Harbhajan Singh,2011-01-23,1st,HM Amla,28,,MN van Wyk,30,South Africa,India,71,India,SuperSport Park,1,South Africa
82,13.4,0,Harbhajan Singh,2011-01-23,1st,MN van Wyk,30,,HM Amla,28,South Africa,India,71,India,SuperSport Park,1,South Africa
83,13.5,1,Harbhajan Singh,2011-01-23,1st,MN van Wyk,30,,HM Amla,29,South Africa,India,72,India,SuperSport Park,1,South Africa
