,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,WB Rankin,2011-03-15,1st,GC Smith,0,,HM Amla,0,Ireland,South Africa,0,Ireland,Eden Gardens,0,South Africa
1,0.2,1,WB Rankin,2011-03-15,1st,GC Smith,0,,HM Amla,1,Ireland,South Africa,1,Ireland,Eden Gardens,0,South Africa
2,0.3,1,WB Rankin,2011-03-15,1st,HM Amla,1,,GC Smith,1,Ireland,South Africa,2,Ireland,Eden Gardens,0,South Africa
3,0.4,0,WB Rankin,2011-03-15,1st,GC Smith,1,,HM Amla,1,Ireland,South Africa,2,Ireland,Eden Gardens,0,South Africa
4,0.5,1,WB Rankin,2011-03-15,1st,GC Smith,1,,HM Amla,2,Ireland,South Africa,3,Ireland,Eden Gardens,0,South Africa
5,0.6,0,WB Rankin,2011-03-15,1st,HM Amla,2,,GC Smith,1,Ireland,South Africa,3,Ireland,Eden Gardens,0,South Africa
6,1.1,0,DT Johnston,2011-03-15,1st,GC Smith,1,,HM Amla,2,Ireland,South Africa,3,Ireland,Eden Gardens,0,South Africa
7,1.2,0,DT Johnston,2011-03-15,1st,GC Smith,1,,HM Amla,2,Ireland,South Africa,4,Ireland,Eden Gardens,0,South Africa
8,1.3,0,DT Johnston,2011-03-15,1st,GC Smith,1,,HM Amla,2,Ireland,South Africa,4,Ireland,Eden Gardens,0,South Africa
9,1.4,0,DT Johnston,2011-03-15,1st,GC Smith,1,,HM Amla,2,Ireland,South Africa,4,Ireland,Eden Gardens,0,South Africa
10,1.5,2,DT Johnston,2011-03-15,1st,GC Smith,1,,HM Amla,4,Ireland,South Africa,6,Ireland,Eden Gardens,0,South Africa
11,1.6,1,DT Johnston,2011-03-15,1st,GC Smith,1,,HM Amla,5,Ireland,South Africa,7,Ireland,Eden Gardens,0,South Africa
12,1.7,0,DT Johnston,2011-03-15,1st,HM Amla,5,,GC Smith,1,Ireland,South Africa,7,Ireland,Eden Gardens,0,South Africa
13,2.1,1,WB Rankin,2011-03-15,1st,GC Smith,1,,HM Amla,6,Ireland,South Africa,8,Ireland,Eden Gardens,0,South Africa
14,2.2,1,WB Rankin,2011-03-15,1st,HM Amla,6,,GC Smith,2,Ireland,South Africa,9,Ireland,Eden Gardens,0,South Africa
15,2.3,1,WB Rankin,2011-03-15,1st,GC Smith,2,,HM Amla,7,Ireland,South Africa,10,Ireland,Eden Gardens,0,South Africa
16,2.4,0,WB Rankin,2011-03-15,1st,HM Amla,7,,GC Smith,2,Ireland,South Africa,10,Ireland,Eden Gardens,0,South Africa
17,2.5,1,WB Rankin,2011-03-15,1st,HM Amla,7,,GC Smith,3,Ireland,South Africa,11,Ireland,Eden Gardens,0,South Africa
18,2.6,0,WB Rankin,2011-03-15,1st,GC Smith,3,,HM Amla,7,Ireland,South Africa,12,Ireland,Eden Gardens,0,South Africa
19,2.7,0,WB Rankin,2011-03-15,1st,GC Smith,3,,HM Amla,7,Ireland,South Africa,12,Ireland,Eden Gardens,0,South Africa
20,3.1,0,DT Johnston,2011-03-15,1st,HM Amla,7,,GC Smith,3,Ireland,South Africa,12,Ireland,Eden Gardens,0,South Africa
21,3.2,0,DT Johnston,2011-03-15,1st,HM Amla,7,,GC Smith,3,Ireland,South Africa,12,Ireland,Eden Gardens,0,South Africa
22,3.3,0,DT Johnston,2011-03-15,1st,HM Amla,7,,GC Smith,3,Ireland,South Africa,12,Ireland,Eden Gardens,0,South Africa
23,3.4,1,DT Johnston,2011-03-15,1st,HM Amla,7,,GC Smith,4,Ireland,South Africa,13,Ireland,Eden Gardens,0,South Africa
24,3.5,1,DT Johnston,2011-03-15,1st,GC Smith,4,,HM Amla,8,Ireland,South Africa,14,Ireland,Eden Gardens,0,South Africa
25,3.6,0,DT Johnston,2011-03-15,1st,HM Amla,8,,GC Smith,4,Ireland,South Africa,14,Ireland,Eden Gardens,0,South Africa
26,4.1,4,WB Rankin,2011-03-15,1st,GC Smith,4,,HM Amla,12,Ireland,South Africa,18,Ireland,Eden Gardens,0,South Africa
27,4.2,0,WB Rankin,2011-03-15,1st,GC Smith,4,,HM Amla,12,Ireland,South Africa,18,Ireland,Eden Gardens,0,South Africa
28,4.3,6,WB Rankin,2011-03-15,1st,GC Smith,4,,HM Amla,18,Ireland,South Africa,24,Ireland,Eden Gardens,0,South Africa
29,4.4,0,WB Rankin,2011-03-15,1st,GC Smith,4,HM Amla,HM Amla,18,Ireland,South Africa,24,Ireland,Eden Gardens,1,South Africa
30,4.5,0,WB Rankin,2011-03-15,1st,MN van Wyk,0,,GC Smith,4,Ireland,South Africa,24,Ireland,Eden Gardens,1,South Africa
31,4.6,0,WB Rankin,2011-03-15,1st,MN van Wyk,0,,GC Smith,4,Ireland,South Africa,24,Ireland,Eden Gardens,1,South Africa
32,5.1,0,DT Johnston,2011-03-15,1st,GC Smith,4,,MN van Wyk,0,Ireland,South Africa,24,Ireland,Eden Gardens,1,South Africa
33,5.2,0,DT Johnston,2011-03-15,1st,GC Smith,4,,MN van Wyk,0,Ireland,South Africa,24,Ireland,Eden Gardens,1,South Africa
34,5.3,4,DT Johnston,2011-03-15,1st,GC Smith,4,,MN van Wyk,4,Ireland,South Africa,28,Ireland,Eden Gardens,1,South Africa
35,5.4,0,DT Johnston,2011-03-15,1st,GC Smith,4,,MN van Wyk,4,Ireland,South Africa,28,Ireland,Eden Gardens,1,South Africa
36,5.5,0,DT Johnston,2011-03-15,1st,GC Smith,4,,MN van Wyk,4,Ireland,South Africa,28,Ireland,Eden Gardens,1,South Africa
37,5.6,0,DT Johnston,2011-03-15,1st,GC Smith,4,,MN van Wyk,4,Ireland,South Africa,28,Ireland,Eden Gardens,1,South Africa
38,6.1,1,WB Rankin,2011-03-15,1st,MN van Wyk,4,,GC Smith,5,Ireland,South Africa,29,Ireland,Eden Gardens,1,South Africa
39,6.2,1,WB Rankin,2011-03-15,1st,GC Smith,5,,MN van Wyk,5,Ireland,South Africa,30,Ireland,Eden Gardens,1,South Africa
40,6.3,0,WB Rankin,2011-03-15,1st,MN van Wyk,5,,GC Smith,5,Ireland,South Africa,30,Ireland,Eden Gardens,1,South Africa
41,6.4,1,WB Rankin,2011-03-15,1st,MN van Wyk,5,,GC Smith,6,Ireland,South Africa,31,Ireland,Eden Gardens,1,South Africa
42,6.5,0,WB Rankin,2011-03-15,1st,GC Smith,6,,MN van Wyk,5,Ireland,South Africa,31,Ireland,Eden Gardens,1,South Africa
43,6.6,1,WB Rankin,2011-03-15,1st,GC Smith,6,,MN van Wyk,6,Ireland,South Africa,32,Ireland,Eden Gardens,1,South Africa
44,7.1,0,DT Johnston,2011-03-15,1st,GC Smith,6,,MN van Wyk,6,Ireland,South Africa,32,Ireland,Eden Gardens,1,South Africa
45,7.2,4,DT Johnston,2011-03-15,1st,GC Smith,6,,MN van Wyk,10,Ireland,South Africa,36,Ireland,Eden Gardens,1,South Africa
46,7.3,0,DT Johnston,2011-03-15,1st,GC Smith,6,,MN van Wyk,10,Ireland,South Africa,36,Ireland,Eden Gardens,1,South Africa
47,7.4,0,DT Johnston,2011-03-15,1st,GC Smith,6,,MN van Wyk,10,Ireland,South Africa,36,Ireland,Eden Gardens,1,South Africa
48,7.5,4,DT Johnston,2011-03-15,1st,GC Smith,6,,MN van Wyk,14,Ireland,South Africa,40,Ireland,Eden Gardens,1,South Africa
49,7.6,1,DT Johnston,2011-03-15,1st,GC Smith,6,,MN van Wyk,15,Ireland,South Africa,41,Ireland,Eden Gardens,1,South Africa
50,8.1,0,WB Rankin,2011-03-15,1st,GC Smith,6,,MN van Wyk,15,Ireland,South Africa,41,Ireland,Eden Gardens,1,South Africa
51,8.2,4,WB Rankin,2011-03-15,1st,GC Smith,6,,MN van Wyk,19,Ireland,South Africa,45,Ireland,Eden Gardens,1,South Africa
52,8.3,4,WB Rankin,2011-03-15,1st,GC Smith,6,,MN van Wyk,23,Ireland,South Africa,49,Ireland,Eden Gardens,1,South Africa
53,8.4,0,WB Rankin,2011-03-15,1st,GC Smith,6,,MN van Wyk,23,Ireland,South Africa,49,Ireland,Eden Gardens,1,South Africa
54,8.5,1,WB Rankin,2011-03-15,1st,GC Smith,6,,MN van Wyk,24,Ireland,South Africa,50,Ireland,Eden Gardens,1,South Africa
55,8.6,0,WB Rankin,2011-03-15,1st,MN van Wyk,24,,GC Smith,6,Ireland,South Africa,50,Ireland,Eden Gardens,1,South Africa
56,9.1,0,DT Johnston,2011-03-15,1st,GC Smith,6,,MN van Wyk,24,Ireland,South Africa,50,Ireland,Eden Gardens,1,South Africa
57,9.2,1,DT Johnston,2011-03-15,1st,GC Smith,6,,MN van Wyk,25,Ireland,South Africa,51,Ireland,Eden Gardens,1,South Africa
58,9.3,1,DT Johnston,2011-03-15,1st,MN van Wyk,25,,GC Smith,7,Ireland,South Africa,52,Ireland,Eden Gardens,1,South Africa
59,9.4,0,DT Johnston,2011-03-15,1st,GC Smith,7,GC Smith,MN van Wyk,25,Ireland,South Africa,52,Ireland,Eden Gardens,2,South Africa
60,9.5,0,DT Johnston,2011-03-15,1st,JH Kallis,0,,MN van Wyk,25,Ireland,South Africa,52,Ireland,Eden Gardens,2,South Africa
61,9.6,0,DT Johnston,2011-03-15,1st,JH Kallis,0,,MN van Wyk,25,Ireland,South Africa,52,Ireland,Eden Gardens,2,South Africa
62,10.1,1,WB Rankin,2011-03-15,1st,MN van Wyk,25,,JH Kallis,1,Ireland,South Africa,53,Ireland,Eden Gardens,2,South Africa
63,10.2,0,WB Rankin,2011-03-15,1st,JH Kallis,1,,MN van Wyk,25,Ireland,South Africa,53,Ireland,Eden Gardens,2,South Africa
64,10.3,1,WB Rankin,2011-03-15,1st,JH Kallis,1,,MN van Wyk,26,Ireland,South Africa,54,Ireland,Eden Gardens,2,South Africa
65,10.4,0,WB Rankin,2011-03-15,1st,MN van Wyk,26,,JH Kallis,1,Ireland,South Africa,54,Ireland,Eden Gardens,2,South Africa
66,10.5,4,WB Rankin,2011-03-15,1st,MN van Wyk,26,,JH Kallis,5,Ireland,South Africa,58,Ireland,Eden Gardens,2,South Africa
67,10.6,0,WB Rankin,2011-03-15,1st,MN van Wyk,26,,JH Kallis,5,Ireland,South Africa,58,Ireland,Eden Gardens,2,South Africa
68,11.1,0,DT Johnston,2011-03-15,1st,JH Kallis,5,,MN van Wyk,26,Ireland,South Africa,58,Ireland,Eden Gardens,2,South Africa
69,11.2,0,DT Johnston,2011-03-15,1st,JH Kallis,5,,MN van Wyk,26,Ireland,South Africa,58,Ireland,Eden Gardens,2,South Africa
70,11.3,4,DT Johnston,2011-03-15,1st,JH Kallis,5,,MN van Wyk,30,Ireland,South Africa,62,Ireland,Eden Gardens,2,South Africa
71,11.4,0,DT Johnston,2011-03-15,1st,JH Kallis,5,,MN van Wyk,30,Ireland,South Africa,62,Ireland,Eden Gardens,2,South Africa
72,11.5,6,DT Johnston,2011-03-15,1st,JH Kallis,5,,MN van Wyk,36,Ireland,South Africa,68,Ireland,Eden Gardens,2,South Africa
73,11.6,4,DT Johnston,2011-03-15,1st,JH Kallis,5,,MN van Wyk,40,Ireland,South Africa,72,Ireland,Eden Gardens,2,South Africa
74,12.1,0,JF Mooney,2011-03-15,1st,MN van Wyk,40,,JH Kallis,5,Ireland,South Africa,72,Ireland,Eden Gardens,2,South Africa
75,12.2,0,JF Mooney,2011-03-15,1st,MN van Wyk,40,,JH Kallis,5,Ireland,South Africa,72,Ireland,Eden Gardens,2,South Africa
76,12.3,4,JF Mooney,2011-03-15,1st,MN van Wyk,40,,JH Kallis,9,Ireland,South Africa,76,Ireland,Eden Gardens,2,South Africa
77,12.4,0,JF Mooney,2011-03-15,1st,MN van Wyk,40,,JH Kallis,9,Ireland,South Africa,76,Ireland,Eden Gardens,2,South Africa
78,12.5,0,JF Mooney,2011-03-15,1st,MN van Wyk,40,,JH Kallis,9,Ireland,South Africa,76,Ireland,Eden Gardens,2,South Africa
79,12.6,0,JF Mooney,2011-03-15,1st,MN van Wyk,40,,JH Kallis,9,Ireland,South Africa,76,Ireland,Eden Gardens,2,South Africa
80,13.1,0,GH Dockrell,2011-03-15,1st,JH Kallis,9,,MN van Wyk,40,Ireland,South Africa,76,Ireland,Eden Gardens,2,South Africa
81,13.2,1,GH Dockrell,2011-03-15,1st,JH Kallis,9,,MN van Wyk,41,Ireland,South Africa,77,Ireland,Eden Gardens,2,South Africa
82,13.3,0,GH Dockrell,2011-03-15,1st,MN van Wyk,41,,JH Kallis,9,Ireland,South Africa,77,Ireland,Eden Gardens,2,South Africa
83,13.4,0,GH Dockrell,2011-03-15,1st,MN van Wyk,41,,JH Kallis,9,Ireland,South Africa,77,Ireland,Eden Gardens,2,South Africa
84,13.5,4,GH Dockrell,2011-03-15,1st,MN van Wyk,41,,JH Kallis,13,Ireland,South Africa,81,Ireland,Eden Gardens,2,South Africa
85,13.6,0,GH Dockrell,2011-03-15,1st,MN van Wyk,41,,JH Kallis,13,Ireland,South Africa,81,Ireland,Eden Gardens,2,South Africa
86,14.1,0,JF Mooney,2011-03-15,1st,JH Kallis,13,,MN van Wyk,41,Ireland,South Africa,81,Ireland,Eden Gardens,2,South Africa
87,14.2,0,JF Mooney,2011-03-15,1st,JH Kallis,13,,MN van Wyk,41,Ireland,South Africa,81,Ireland,Eden Gardens,2,South Africa
88,14.3,1,JF Mooney,2011-03-15,1st,JH Kallis,13,,MN van Wyk,42,Ireland,South Africa,82,Ireland,Eden Gardens,2,South Africa
89,14.4,1,JF Mooney,2011-03-15,1st,MN van Wyk,42,,JH Kallis,14,Ireland,South Africa,83,Ireland,Eden Gardens,2,South Africa
90,14.5,0,JF Mooney,2011-03-15,1st,JH Kallis,14,,MN van Wyk,42,Ireland,South Africa,83,Ireland,Eden Gardens,2,South Africa
91,14.6,0,JF Mooney,2011-03-15,1st,JH Kallis,14,,MN van Wyk,42,Ireland,South Africa,83,Ireland,Eden Gardens,2,South Africa
92,15.1,0,GH Dockrell,2011-03-15,1st,MN van Wyk,42,,JH Kallis,14,Ireland,South Africa,83,Ireland,Eden Gardens,2,South Africa
93,15.2,0,GH Dockrell,2011-03-15,1st,MN van Wyk,42,,JH Kallis,14,Ireland,South Africa,83,Ireland,Eden Gardens,2,South Africa
94,15.3,0,GH Dockrell,2011-03-15,1st,MN van Wyk,42,,JH Kallis,14,Ireland,South Africa,83,Ireland,Eden Gardens,2,South Africa
95,15.4,1,GH Dockrell,2011-03-15,1st,MN van Wyk,42,,JH Kallis,15,Ireland,South Africa,84,Ireland,Eden Gardens,2,South Africa
96,15.5,0,GH Dockrell,2011-03-15,1st,JH Kallis,15,MN van Wyk,MN van Wyk,42,Ireland,South Africa,84,Ireland,Eden Gardens,3,South Africa
97,15.6,1,GH Dockrell,2011-03-15,1st,JH Kallis,15,,JP Duminy,1,Ireland,South Africa,85,Ireland,Eden Gardens,3,South Africa
98,16.1,0,PR Stirling,2011-03-15,1st,JH Kallis,15,,JP Duminy,1,Ireland,South Africa,85,Ireland,Eden Gardens,3,South Africa
99,16.2,0,PR Stirling,2011-03-15,1st,JH Kallis,15,,JP Duminy,1,Ireland,South Africa,85,Ireland,Eden Gardens,3,South Africa
100,16.3,1,PR Stirling,2011-03-15,1st,JH Kallis,15,,JP Duminy,2,Ireland,South Africa,86,Ireland,Eden Gardens,3,South Africa
101,16.4,0,PR Stirling,2011-03-15,1st,JP Duminy,2,,JH Kallis,15,Ireland,South Africa,86,Ireland,Eden Gardens,3,South Africa
102,16.5,0,PR Stirling,2011-03-15,1st,JP Duminy,2,,JH Kallis,15,Ireland,South Africa,86,Ireland,Eden Gardens,3,South Africa
103,16.6,1,PR Stirling,2011-03-15,1st,JP Duminy,2,,JH Kallis,16,Ireland,South Africa,87,Ireland,Eden Gardens,3,South Africa
