,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,B Lee,2011-08-14,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,0,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
1,0.2,0,B Lee,2011-08-14,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,0,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
2,0.3,0,B Lee,2011-08-14,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
3,0.4,0,B Lee,2011-08-14,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
4,0.5,0,B Lee,2011-08-14,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
5,0.6,0,B Lee,2011-08-14,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
6,0.7,0,B Lee,2011-08-14,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
7,1.1,0,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
8,1.2,0,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
9,1.3,0,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
10,1.4,0,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
11,1.5,0,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,0,Sri Lanka,Australia,1,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
12,1.6,1,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,1,Sri Lanka,Australia,2,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
13,2.1,4,B Lee,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,5,Sri Lanka,Australia,6,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
14,2.2,4,B Lee,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,9,Sri Lanka,Australia,10,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
15,2.3,2,B Lee,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,11,Sri Lanka,Australia,12,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
16,2.4,1,B Lee,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,12,Sri Lanka,Australia,13,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
17,2.5,0,B Lee,2011-08-14,1st,TM Dilshan,12,,WU Tharanga,0,Sri Lanka,Australia,13,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
18,2.6,0,B Lee,2011-08-14,1st,TM Dilshan,12,,WU Tharanga,0,Sri Lanka,Australia,13,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
19,3.1,0,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,12,Sri Lanka,Australia,13,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
20,3.2,4,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,16,Sri Lanka,Australia,17,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
21,3.3,0,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,16,Sri Lanka,Australia,17,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
22,3.4,1,DE Bollinger,2011-08-14,1st,WU Tharanga,0,,TM Dilshan,17,Sri Lanka,Australia,18,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
23,3.5,0,DE Bollinger,2011-08-14,1st,TM Dilshan,17,,WU Tharanga,0,Sri Lanka,Australia,18,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
24,3.6,4,DE Bollinger,2011-08-14,1st,TM Dilshan,17,,WU Tharanga,4,Sri Lanka,Australia,22,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
25,4.1,0,SR Watson,2011-08-14,1st,WU Tharanga,4,,TM Dilshan,17,Sri Lanka,Australia,22,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
26,4.2,4,SR Watson,2011-08-14,1st,WU Tharanga,4,,TM Dilshan,21,Sri Lanka,Australia,26,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
27,4.3,0,SR Watson,2011-08-14,1st,WU Tharanga,4,,TM Dilshan,21,Sri Lanka,Australia,26,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
28,4.4,0,SR Watson,2011-08-14,1st,WU Tharanga,4,,TM Dilshan,21,Sri Lanka,Australia,26,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
29,4.5,1,SR Watson,2011-08-14,1st,WU Tharanga,4,,TM Dilshan,22,Sri Lanka,Australia,27,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
30,4.6,1,SR Watson,2011-08-14,1st,TM Dilshan,22,,WU Tharanga,5,Sri Lanka,Australia,28,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
31,5.1,0,DE Bollinger,2011-08-14,1st,TM Dilshan,22,,WU Tharanga,5,Sri Lanka,Australia,28,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
32,5.2,0,DE Bollinger,2011-08-14,1st,TM Dilshan,22,,WU Tharanga,5,Sri Lanka,Australia,28,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
33,5.3,0,DE Bollinger,2011-08-14,1st,TM Dilshan,22,,WU Tharanga,5,Sri Lanka,Australia,28,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
34,5.4,0,DE Bollinger,2011-08-14,1st,TM Dilshan,22,,WU Tharanga,5,Sri Lanka,Australia,28,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
35,5.5,0,DE Bollinger,2011-08-14,1st,TM Dilshan,22,,WU Tharanga,5,Sri Lanka,Australia,28,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
36,5.6,0,DE Bollinger,2011-08-14,1st,TM Dilshan,22,,WU Tharanga,5,Sri Lanka,Australia,28,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
37,6.1,1,SR Watson,2011-08-14,1st,WU Tharanga,5,,TM Dilshan,23,Sri Lanka,Australia,29,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
38,6.2,4,SR Watson,2011-08-14,1st,TM Dilshan,23,,WU Tharanga,9,Sri Lanka,Australia,33,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
39,6.3,0,SR Watson,2011-08-14,1st,TM Dilshan,23,,WU Tharanga,9,Sri Lanka,Australia,33,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
40,6.4,1,SR Watson,2011-08-14,1st,TM Dilshan,23,,WU Tharanga,10,Sri Lanka,Australia,34,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
41,6.5,1,SR Watson,2011-08-14,1st,WU Tharanga,10,,TM Dilshan,24,Sri Lanka,Australia,35,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
42,6.6,1,SR Watson,2011-08-14,1st,TM Dilshan,24,,WU Tharanga,11,Sri Lanka,Australia,36,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
43,7.1,0,B Lee,2011-08-14,1st,TM Dilshan,24,,WU Tharanga,11,Sri Lanka,Australia,36,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
44,7.2,1,B Lee,2011-08-14,1st,TM Dilshan,24,,WU Tharanga,12,Sri Lanka,Australia,37,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,Australia
