,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,1,WPUJC Vaas,2008-02-08,1st,ML Hayden,0,,AC Gilchrist,1,Australia,Sri Lanka,1,Australia,Sydney Cricket Ground,0,Australia
1,0.2,0,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,0,Australia,Sri Lanka,1,Australia,Sydney Cricket Ground,0,Australia
2,0.3,0,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,0,Australia,Sri Lanka,1,Australia,Sydney Cricket Ground,0,Australia
3,0.4,4,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,4,Australia,Sri Lanka,5,Australia,Sydney Cricket Ground,0,Australia
4,0.5,0,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,4,Australia,Sri Lanka,5,Australia,Sydney Cricket Ground,0,Australia
5,0.6,1,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,5,Australia,Sri Lanka,6,Australia,Sydney Cricket Ground,0,Australia
6,1.1,0,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,5,Australia,Sri Lanka,6,Australia,Sydney Cricket Ground,0,Australia
7,1.2,0,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,5,Australia,Sri Lanka,6,Australia,Sydney Cricket Ground,0,Australia
8,1.3,4,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,9,Australia,Sri Lanka,10,Australia,Sydney Cricket Ground,0,Australia
9,1.4,0,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,9,Australia,Sri Lanka,10,Australia,Sydney Cricket Ground,0,Australia
10,1.5,1,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,10,Australia,Sri Lanka,11,Australia,Sydney Cricket Ground,0,Australia
11,1.6,0,SL Malinga,2008-02-08,1st,ML Hayden,10,,AC Gilchrist,1,Australia,Sri Lanka,11,Australia,Sydney Cricket Ground,0,Australia
12,2.1,0,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,10,Australia,Sri Lanka,11,Australia,Sydney Cricket Ground,0,Australia
13,2.2,2,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,12,Australia,Sri Lanka,13,Australia,Sydney Cricket Ground,0,Australia
14,2.3,0,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,12,Australia,Sri Lanka,13,Australia,Sydney Cricket Ground,0,Australia
15,2.4,4,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,16,Australia,Sri Lanka,17,Australia,Sydney Cricket Ground,0,Australia
16,2.5,1,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,17,Australia,Sri Lanka,18,Australia,Sydney Cricket Ground,0,Australia
17,2.6,0,WPUJC Vaas,2008-02-08,1st,ML Hayden,17,,AC Gilchrist,1,Australia,Sri Lanka,18,Australia,Sydney Cricket Ground,0,Australia
18,3.1,0,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,17,Australia,Sri Lanka,18,Australia,Sydney Cricket Ground,0,Australia
19,3.2,0,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,17,Australia,Sri Lanka,18,Australia,Sydney Cricket Ground,0,Australia
20,3.3,0,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,17,Australia,Sri Lanka,18,Australia,Sydney Cricket Ground,0,Australia
21,3.4,0,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,17,Australia,Sri Lanka,18,Australia,Sydney Cricket Ground,0,Australia
22,3.5,2,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,19,Australia,Sri Lanka,20,Australia,Sydney Cricket Ground,0,Australia
23,3.6,1,SL Malinga,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,20,Australia,Sri Lanka,21,Australia,Sydney Cricket Ground,0,Australia
24,4.1,0,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,20,Australia,Sri Lanka,21,Australia,Sydney Cricket Ground,0,Australia
25,4.2,1,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,1,,ML Hayden,21,Australia,Sri Lanka,22,Australia,Sydney Cricket Ground,0,Australia
26,4.3,0,WPUJC Vaas,2008-02-08,1st,ML Hayden,21,,AC Gilchrist,1,Australia,Sri Lanka,22,Australia,Sydney Cricket Ground,0,Australia
27,4.4,1,WPUJC Vaas,2008-02-08,1st,ML Hayden,21,,AC Gilchrist,2,Australia,Sri Lanka,23,Australia,Sydney Cricket Ground,0,Australia
28,4.5,1,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,2,,ML Hayden,22,Australia,Sri Lanka,24,Australia,Sydney Cricket Ground,0,Australia
29,4.6,0,WPUJC Vaas,2008-02-08,1st,ML Hayden,22,,AC Gilchrist,2,Australia,Sri Lanka,24,Australia,Sydney Cricket Ground,0,Australia
30,5.1,1,SL Malinga,2008-02-08,1st,AC Gilchrist,2,,ML Hayden,23,Australia,Sri Lanka,25,Australia,Sydney Cricket Ground,0,Australia
31,5.2,0,SL Malinga,2008-02-08,1st,ML Hayden,23,,AC Gilchrist,2,Australia,Sri Lanka,25,Australia,Sydney Cricket Ground,0,Australia
32,5.3,1,SL Malinga,2008-02-08,1st,ML Hayden,23,,AC Gilchrist,3,Australia,Sri Lanka,26,Australia,Sydney Cricket Ground,0,Australia
33,5.4,2,SL Malinga,2008-02-08,1st,AC Gilchrist,3,,ML Hayden,25,Australia,Sri Lanka,28,Australia,Sydney Cricket Ground,0,Australia
34,5.5,0,SL Malinga,2008-02-08,1st,AC Gilchrist,3,,ML Hayden,25,Australia,Sri Lanka,28,Australia,Sydney Cricket Ground,0,Australia
35,5.6,0,SL Malinga,2008-02-08,1st,AC Gilchrist,3,,ML Hayden,25,Australia,Sri Lanka,28,Australia,Sydney Cricket Ground,0,Australia
36,6.1,1,WPUJC Vaas,2008-02-08,1st,ML Hayden,25,,AC Gilchrist,4,Australia,Sri Lanka,29,Australia,Sydney Cricket Ground,0,Australia
37,6.2,2,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,4,,ML Hayden,27,Australia,Sri Lanka,31,Australia,Sydney Cricket Ground,0,Australia
38,6.3,2,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,4,,ML Hayden,29,Australia,Sri Lanka,33,Australia,Sydney Cricket Ground,0,Australia
39,6.4,0,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,4,,ML Hayden,29,Australia,Sri Lanka,33,Australia,Sydney Cricket Ground,0,Australia
40,6.5,0,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,4,,ML Hayden,29,Australia,Sri Lanka,33,Australia,Sydney Cricket Ground,0,Australia
41,6.6,1,WPUJC Vaas,2008-02-08,1st,AC Gilchrist,4,,ML Hayden,30,Australia,Sri Lanka,34,Australia,Sydney Cricket Ground,0,Australia
42,7.1,0,SL Malinga,2008-02-08,1st,AC Gilchrist,4,,ML Hayden,30,Australia,Sri Lanka,34,Australia,Sydney Cricket Ground,0,Australia
43,7.2,2,SL Malinga,2008-02-08,1st,AC Gilchrist,4,,ML Hayden,32,Australia,Sri Lanka,36,Australia,Sydney Cricket Ground,0,Australia
44,7.3,1,SL Malinga,2008-02-08,1st,AC Gilchrist,4,,ML Hayden,33,Australia,Sri Lanka,37,Australia,Sydney Cricket Ground,0,Australia
45,7.4,0,SL Malinga,2008-02-08,1st,ML Hayden,33,,AC Gilchrist,4,Australia,Sri Lanka,37,Australia,Sydney Cricket Ground,0,Australia
46,7.5,6,SL Malinga,2008-02-08,1st,ML Hayden,33,,AC Gilchrist,10,Australia,Sri Lanka,43,Australia,Sydney Cricket Ground,0,Australia
47,7.6,0,SL Malinga,2008-02-08,1st,ML Hayden,33,,AC Gilchrist,10,Australia,Sri Lanka,43,Australia,Sydney Cricket Ground,0,Australia
48,8.1,0,MKDI Amerasinghe,2008-02-08,1st,AC Gilchrist,10,,ML Hayden,33,Australia,Sri Lanka,43,Australia,Sydney Cricket Ground,0,Australia
49,8.2,0,MKDI Amerasinghe,2008-02-08,1st,AC Gilchrist,10,,ML Hayden,33,Australia,Sri Lanka,43,Australia,Sydney Cricket Ground,0,Australia
50,8.3,0,MKDI Amerasinghe,2008-02-08,1st,AC Gilchrist,10,,ML Hayden,33,Australia,Sri Lanka,43,Australia,Sydney Cricket Ground,0,Australia
51,8.4,0,MKDI Amerasinghe,2008-02-08,1st,AC Gilchrist,10,,ML Hayden,33,Australia,Sri Lanka,43,Australia,Sydney Cricket Ground,0,Australia
52,8.5,4,MKDI Amerasinghe,2008-02-08,1st,AC Gilchrist,10,,ML Hayden,37,Australia,Sri Lanka,47,Australia,Sydney Cricket Ground,0,Australia
53,8.6,0,MKDI Amerasinghe,2008-02-08,1st,AC Gilchrist,10,,ML Hayden,37,Australia,Sri Lanka,47,Australia,Sydney Cricket Ground,0,Australia
54,9.1,0,SL Malinga,2008-02-08,1st,ML Hayden,37,,AC Gilchrist,10,Australia,Sri Lanka,47,Australia,Sydney Cricket Ground,0,Australia
