,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,B Lee,2007-02-04,1st,SP Fleming,0,,L Vincent,0,Australia,New Zealand,0,New Zealand,Melbourne Cricket Ground,0,Australia
1,0.2,1,B Lee,2007-02-04,1st,SP Fleming,0,,L Vincent,1,Australia,New Zealand,1,New Zealand,Melbourne Cricket Ground,0,Australia
2,0.3,0,B Lee,2007-02-04,1st,L Vincent,1,,SP Fleming,0,Australia,New Zealand,1,New Zealand,Melbourne Cricket Ground,0,Australia
3,0.4,2,B Lee,2007-02-04,1st,L Vincent,1,,SP Fleming,2,Australia,New Zealand,3,New Zealand,Melbourne Cricket Ground,0,Australia
4,0.5,0,B Lee,2007-02-04,1st,L Vincent,1,,SP Fleming,2,Australia,New Zealand,3,New Zealand,Melbourne Cricket Ground,0,Australia
5,0.6,1,B Lee,2007-02-04,1st,L Vincent,1,,SP Fleming,3,Australia,New Zealand,4,New Zealand,Melbourne Cricket Ground,0,Australia
6,1.1,0,SW Tait,2007-02-04,1st,L Vincent,1,,SP Fleming,3,Australia,New Zealand,4,New Zealand,Melbourne Cricket Ground,0,Australia
7,1.2,0,SW Tait,2007-02-04,1st,L Vincent,1,,SP Fleming,3,Australia,New Zealand,4,New Zealand,Melbourne Cricket Ground,0,Australia
8,1.3,4,SW Tait,2007-02-04,1st,L Vincent,1,,SP Fleming,7,Australia,New Zealand,8,New Zealand,Melbourne Cricket Ground,0,Australia
9,1.4,0,SW Tait,2007-02-04,1st,L Vincent,1,,SP Fleming,7,Australia,New Zealand,8,New Zealand,Melbourne Cricket Ground,0,Australia
10,1.5,1,SW Tait,2007-02-04,1st,L Vincent,1,,SP Fleming,8,Australia,New Zealand,9,New Zealand,Melbourne Cricket Ground,0,Australia
11,1.6,0,SW Tait,2007-02-04,1st,SP Fleming,8,,L Vincent,1,Australia,New Zealand,9,New Zealand,Melbourne Cricket Ground,0,Australia
12,2.1,1,B Lee,2007-02-04,1st,L Vincent,1,,SP Fleming,9,Australia,New Zealand,10,New Zealand,Melbourne Cricket Ground,0,Australia
13,2.2,0,B Lee,2007-02-04,1st,SP Fleming,9,,L Vincent,1,Australia,New Zealand,10,New Zealand,Melbourne Cricket Ground,0,Australia
14,2.3,0,B Lee,2007-02-04,1st,SP Fleming,9,,L Vincent,1,Australia,New Zealand,10,New Zealand,Melbourne Cricket Ground,0,Australia
15,2.4,0,B Lee,2007-02-04,1st,SP Fleming,9,,L Vincent,1,Australia,New Zealand,11,New Zealand,Melbourne Cricket Ground,0,Australia
16,2.5,1,B Lee,2007-02-04,1st,SP Fleming,9,,L Vincent,2,Australia,New Zealand,12,New Zealand,Melbourne Cricket Ground,0,Australia
17,2.6,0,B Lee,2007-02-04,1st,L Vincent,2,SP Fleming,SP Fleming,9,Australia,New Zealand,12,New Zealand,Melbourne Cricket Ground,1,Australia
18,2.7,0,B Lee,2007-02-04,1st,L Vincent,2,,PG Fulton,0,Australia,New Zealand,13,New Zealand,Melbourne Cricket Ground,1,Australia
19,2.8,0,B Lee,2007-02-04,1st,L Vincent,2,,PG Fulton,0,Australia,New Zealand,13,New Zealand,Melbourne Cricket Ground,1,Australia
20,3.1,0,SW Tait,2007-02-04,1st,PG Fulton,0,,L Vincent,2,Australia,New Zealand,13,New Zealand,Melbourne Cricket Ground,1,Australia
21,3.2,0,SW Tait,2007-02-04,1st,PG Fulton,0,,L Vincent,2,Australia,New Zealand,13,New Zealand,Melbourne Cricket Ground,1,Australia
22,3.3,0,SW Tait,2007-02-04,1st,PG Fulton,0,,L Vincent,2,Australia,New Zealand,13,New Zealand,Melbourne Cricket Ground,1,Australia
23,3.4,0,SW Tait,2007-02-04,1st,PG Fulton,0,,L Vincent,2,Australia,New Zealand,13,New Zealand,Melbourne Cricket Ground,1,Australia
24,3.5,0,SW Tait,2007-02-04,1st,PG Fulton,0,,L Vincent,2,Australia,New Zealand,13,New Zealand,Melbourne Cricket Ground,1,Australia
