,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,BV Vitori,2012-02-09,1st,MJ Guptill,0,,RJ Nicol,0,New Zealand,Zimbabwe,0,New Zealand,McLean Park,0,New Zealand
1,0.2,0,BV Vitori,2012-02-09,1st,MJ Guptill,0,,RJ Nicol,0,New Zealand,Zimbabwe,1,New Zealand,McLean Park,0,New Zealand
2,0.3,0,BV Vitori,2012-02-09,1st,MJ Guptill,0,,RJ Nicol,0,New Zealand,Zimbabwe,2,New Zealand,McLean Park,0,New Zealand
3,0.4,0,BV Vitori,2012-02-09,1st,MJ Guptill,0,,RJ Nicol,0,New Zealand,Zimbabwe,2,New Zealand,McLean Park,0,New Zealand
4,0.5,4,BV Vitori,2012-02-09,1st,MJ Guptill,0,,RJ Nicol,4,New Zealand,Zimbabwe,6,New Zealand,McLean Park,0,New Zealand
5,0.6,0,BV Vitori,2012-02-09,1st,MJ Guptill,0,,RJ Nicol,4,New Zealand,Zimbabwe,6,New Zealand,McLean Park,0,New Zealand
6,0.7,0,BV Vitori,2012-02-09,1st,MJ Guptill,0,,RJ Nicol,4,New Zealand,Zimbabwe,6,New Zealand,McLean Park,0,New Zealand
7,0.8,0,BV Vitori,2012-02-09,1st,MJ Guptill,0,,RJ Nicol,4,New Zealand,Zimbabwe,6,New Zealand,McLean Park,0,New Zealand
8,1.1,0,KM Jarvis,2012-02-09,1st,RJ Nicol,4,,MJ Guptill,0,New Zealand,Zimbabwe,6,New Zealand,McLean Park,0,New Zealand
9,1.2,0,KM Jarvis,2012-02-09,1st,RJ Nicol,4,,MJ Guptill,0,New Zealand,Zimbabwe,6,New Zealand,McLean Park,0,New Zealand
10,1.3,0,KM Jarvis,2012-02-09,1st,RJ Nicol,4,,MJ Guptill,0,New Zealand,Zimbabwe,6,New Zealand,McLean Park,0,New Zealand
11,1.4,4,KM Jarvis,2012-02-09,1st,RJ Nicol,4,,MJ Guptill,4,New Zealand,Zimbabwe,10,New Zealand,McLean Park,0,New Zealand
12,1.5,0,KM Jarvis,2012-02-09,1st,RJ Nicol,4,,MJ Guptill,4,New Zealand,Zimbabwe,10,New Zealand,McLean Park,0,New Zealand
13,1.6,0,KM Jarvis,2012-02-09,1st,RJ Nicol,4,,MJ Guptill,4,New Zealand,Zimbabwe,10,New Zealand,McLean Park,0,New Zealand
14,2.1,4,BV Vitori,2012-02-09,1st,MJ Guptill,4,,RJ Nicol,8,New Zealand,Zimbabwe,14,New Zealand,McLean Park,0,New Zealand
15,2.2,2,BV Vitori,2012-02-09,1st,MJ Guptill,4,,RJ Nicol,10,New Zealand,Zimbabwe,16,New Zealand,McLean Park,0,New Zealand
16,2.3,1,BV Vitori,2012-02-09,1st,MJ Guptill,4,,RJ Nicol,11,New Zealand,Zimbabwe,17,New Zealand,McLean Park,0,New Zealand
17,2.4,4,BV Vitori,2012-02-09,1st,RJ Nicol,11,,MJ Guptill,8,New Zealand,Zimbabwe,21,New Zealand,McLean Park,0,New Zealand
18,2.5,0,BV Vitori,2012-02-09,1st,RJ Nicol,11,,MJ Guptill,8,New Zealand,Zimbabwe,21,New Zealand,McLean Park,0,New Zealand
19,2.6,0,BV Vitori,2012-02-09,1st,RJ Nicol,11,,MJ Guptill,8,New Zealand,Zimbabwe,22,New Zealand,McLean Park,0,New Zealand
20,2.7,0,BV Vitori,2012-02-09,1st,RJ Nicol,11,,MJ Guptill,8,New Zealand,Zimbabwe,22,New Zealand,McLean Park,0,New Zealand
