,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,CJ McKay,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,0,Australia,Sri Lanka,1,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
1,0.2,0,CJ McKay,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,0,Australia,Sri Lanka,1,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
2,0.3,0,CJ McKay,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,0,Australia,Sri Lanka,1,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
3,0.4,0,CJ McKay,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,0,Australia,Sri Lanka,1,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
4,0.5,0,CJ McKay,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,0,Australia,Sri Lanka,1,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
5,0.6,0,CJ McKay,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,0,Australia,Sri Lanka,1,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
6,0.7,1,CJ McKay,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,1,Australia,Sri Lanka,2,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
7,1.1,0,MG Johnson,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,1,Australia,Sri Lanka,2,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
8,1.2,0,MG Johnson,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,1,Australia,Sri Lanka,2,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
9,1.3,1,MG Johnson,2010-11-07,1st,TM Dilshan,0,,WU Tharanga,2,Australia,Sri Lanka,3,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
10,1.4,0,MG Johnson,2010-11-07,1st,WU Tharanga,2,,TM Dilshan,0,Australia,Sri Lanka,3,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
11,1.5,1,MG Johnson,2010-11-07,1st,WU Tharanga,2,,TM Dilshan,1,Australia,Sri Lanka,4,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
12,1.6,0,MG Johnson,2010-11-07,1st,TM Dilshan,1,,WU Tharanga,2,Australia,Sri Lanka,8,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",0,Australia
