,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,KAJ Roach,2009-07-26,1st,Junaid Siddique,0,Tamim Iqbal,Tamim Iqbal,0,West Indies,Bangladesh,0,West Indies,"Windsor Park, Roseau",1,Bangladesh
1,0.2,0,KAJ Roach,2009-07-26,1st,Junaid Siddique,0,,Mohammad Ashraful,0,West Indies,Bangladesh,0,West Indies,"Windsor Park, Roseau",1,Bangladesh
2,0.3,0,KAJ Roach,2009-07-26,1st,Junaid Siddique,0,,Mohammad Ashraful,0,West Indies,Bangladesh,1,West Indies,"Windsor Park, Roseau",1,Bangladesh
3,0.4,0,KAJ Roach,2009-07-26,1st,Mohammad Ashraful,0,,Junaid Siddique,0,West Indies,Bangladesh,1,West Indies,"Windsor Park, Roseau",1,Bangladesh
4,0.5,0,KAJ Roach,2009-07-26,1st,Mohammad Ashraful,0,,Junaid Siddique,0,West Indies,Bangladesh,2,West Indies,"Windsor Park, Roseau",1,Bangladesh
5,0.6,0,KAJ Roach,2009-07-26,1st,Mohammad Ashraful,0,,Junaid Siddique,0,West Indies,Bangladesh,2,West Indies,"Windsor Park, Roseau",1,Bangladesh
6,0.7,2,KAJ Roach,2009-07-26,1st,Mohammad Ashraful,0,,Junaid Siddique,2,West Indies,Bangladesh,4,West Indies,"Windsor Park, Roseau",1,Bangladesh
7,1.1,0,NT Pascal,2009-07-26,1st,Junaid Siddique,2,,Mohammad Ashraful,0,West Indies,Bangladesh,4,West Indies,"Windsor Park, Roseau",1,Bangladesh
8,1.2,4,NT Pascal,2009-07-26,1st,Junaid Siddique,2,,Mohammad Ashraful,4,West Indies,Bangladesh,8,West Indies,"Windsor Park, Roseau",1,Bangladesh
9,1.3,0,NT Pascal,2009-07-26,1st,Junaid Siddique,2,,Mohammad Ashraful,4,West Indies,Bangladesh,8,West Indies,"Windsor Park, Roseau",1,Bangladesh
10,1.4,0,NT Pascal,2009-07-26,1st,Junaid Siddique,2,,Mohammad Ashraful,4,West Indies,Bangladesh,10,West Indies,"Windsor Park, Roseau",1,Bangladesh
11,1.5,0,NT Pascal,2009-07-26,1st,Mohammad Ashraful,4,,Junaid Siddique,2,West Indies,Bangladesh,10,West Indies,"Windsor Park, Roseau",1,Bangladesh
12,1.6,0,NT Pascal,2009-07-26,1st,Mohammad Ashraful,4,,Junaid Siddique,2,West Indies,Bangladesh,11,West Indies,"Windsor Park, Roseau",1,Bangladesh
13,1.7,0,NT Pascal,2009-07-26,1st,Mohammad Ashraful,4,,Junaid Siddique,2,West Indies,Bangladesh,12,West Indies,"Windsor Park, Roseau",1,Bangladesh
14,1.8,0,NT Pascal,2009-07-26,1st,Junaid Siddique,2,,Mohammad Ashraful,4,West Indies,Bangladesh,12,West Indies,"Windsor Park, Roseau",1,Bangladesh
15,2.1,0,KAJ Roach,2009-07-26,1st,Mohammad Ashraful,4,,Junaid Siddique,2,West Indies,Bangladesh,12,West Indies,"Windsor Park, Roseau",1,Bangladesh
16,2.2,2,KAJ Roach,2009-07-26,1st,Mohammad Ashraful,4,,Junaid Siddique,4,West Indies,Bangladesh,14,West Indies,"Windsor Park, Roseau",1,Bangladesh
17,2.3,1,KAJ Roach,2009-07-26,1st,Mohammad Ashraful,4,,Junaid Siddique,5,West Indies,Bangladesh,15,West Indies,"Windsor Park, Roseau",1,Bangladesh
18,2.4,0,KAJ Roach,2009-07-26,1st,Junaid Siddique,5,,Mohammad Ashraful,4,West Indies,Bangladesh,15,West Indies,"Windsor Park, Roseau",1,Bangladesh
19,2.5,0,KAJ Roach,2009-07-26,1st,Junaid Siddique,5,,Mohammad Ashraful,4,West Indies,Bangladesh,15,West Indies,"Windsor Park, Roseau",1,Bangladesh
