,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,TM Odoyo,2007-10-25,1st,J Edness,0,,SD Outerbridge,0,Kenya,Bermuda,0,Kenya,Gymkhana Club Ground,0,Kenya
1,0.2,0,TM Odoyo,2007-10-25,1st,J Edness,0,,SD Outerbridge,0,Kenya,Bermuda,1,Kenya,Gymkhana Club Ground,0,Kenya
2,0.3,0,TM Odoyo,2007-10-25,1st,J Edness,0,,SD Outerbridge,0,Kenya,Bermuda,1,Kenya,Gymkhana Club Ground,0,Kenya
3,0.4,0,TM Odoyo,2007-10-25,1st,J Edness,0,,SD Outerbridge,0,Kenya,Bermuda,2,Kenya,Gymkhana Club Ground,0,Kenya
4,0.5,0,TM Odoyo,2007-10-25,1st,J Edness,0,,SD Outerbridge,0,Kenya,Bermuda,2,Kenya,Gymkhana Club Ground,0,Kenya
5,0.6,0,TM Odoyo,2007-10-25,1st,J Edness,0,,SD Outerbridge,0,Kenya,Bermuda,2,Kenya,Gymkhana Club Ground,0,Kenya
6,0.7,0,TM Odoyo,2007-10-25,1st,J Edness,0,,SD Outerbridge,0,Kenya,Bermuda,2,Kenya,Gymkhana Club Ground,0,Kenya
7,0.8,1,TM Odoyo,2007-10-25,1st,J Edness,0,,SD Outerbridge,1,Kenya,Bermuda,3,Kenya,Gymkhana Club Ground,0,Kenya
8,1.1,0,PJ Ongondo,2007-10-25,1st,J Edness,0,,SD Outerbridge,1,Kenya,Bermuda,4,Kenya,Gymkhana Club Ground,0,Kenya
9,1.2,0,PJ Ongondo,2007-10-25,1st,SD Outerbridge,1,,J Edness,0,Kenya,Bermuda,4,Kenya,Gymkhana Club Ground,0,Kenya
10,1.3,0,PJ Ongondo,2007-10-25,1st,SD Outerbridge,1,,J Edness,0,Kenya,Bermuda,4,Kenya,Gymkhana Club Ground,0,Kenya
11,1.4,0,PJ Ongondo,2007-10-25,1st,SD Outerbridge,1,,J Edness,0,Kenya,Bermuda,4,Kenya,Gymkhana Club Ground,0,Kenya
12,1.5,0,PJ Ongondo,2007-10-25,1st,SD Outerbridge,1,,J Edness,0,Kenya,Bermuda,4,Kenya,Gymkhana Club Ground,0,Kenya
13,1.6,1,PJ Ongondo,2007-10-25,1st,SD Outerbridge,1,,J Edness,1,Kenya,Bermuda,5,Kenya,Gymkhana Club Ground,0,Kenya
14,2.1,0,TM Odoyo,2007-10-25,1st,SD Outerbridge,1,,J Edness,1,Kenya,Bermuda,5,Kenya,Gymkhana Club Ground,0,Kenya
15,2.2,0,TM Odoyo,2007-10-25,1st,SD Outerbridge,1,,J Edness,1,Kenya,Bermuda,5,Kenya,Gymkhana Club Ground,0,Kenya
16,2.3,0,TM Odoyo,2007-10-25,1st,SD Outerbridge,1,,J Edness,1,Kenya,Bermuda,5,Kenya,Gymkhana Club Ground,0,Kenya
17,2.4,1,TM Odoyo,2007-10-25,1st,SD Outerbridge,1,,J Edness,2,Kenya,Bermuda,6,Kenya,Gymkhana Club Ground,0,Kenya
18,2.5,1,TM Odoyo,2007-10-25,1st,J Edness,2,,SD Outerbridge,2,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,0,Kenya
19,2.6,0,TM Odoyo,2007-10-25,1st,SD Outerbridge,2,,J Edness,2,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,0,Kenya
20,3.1,0,PJ Ongondo,2007-10-25,1st,J Edness,2,SD Outerbridge,SD Outerbridge,2,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,1,Kenya
21,3.2,0,PJ Ongondo,2007-10-25,1st,J Edness,2,,IH Romaine,0,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,1,Kenya
22,3.3,0,PJ Ongondo,2007-10-25,1st,J Edness,2,,IH Romaine,0,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,1,Kenya
23,3.4,0,PJ Ongondo,2007-10-25,1st,J Edness,2,,IH Romaine,0,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,1,Kenya
24,3.5,0,PJ Ongondo,2007-10-25,1st,J Edness,2,,IH Romaine,0,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,1,Kenya
25,3.6,0,PJ Ongondo,2007-10-25,1st,J Edness,2,,IH Romaine,0,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,1,Kenya
26,4.1,0,TM Odoyo,2007-10-25,1st,IH Romaine,0,,J Edness,2,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,1,Kenya
27,4.2,0,TM Odoyo,2007-10-25,1st,IH Romaine,0,,J Edness,2,Kenya,Bermuda,7,Kenya,Gymkhana Club Ground,1,Kenya
28,4.3,1,TM Odoyo,2007-10-25,1st,IH Romaine,0,,J Edness,3,Kenya,Bermuda,8,Kenya,Gymkhana Club Ground,1,Kenya
29,4.4,0,TM Odoyo,2007-10-25,1st,J Edness,3,,IH Romaine,0,Kenya,Bermuda,8,Kenya,Gymkhana Club Ground,1,Kenya
30,4.5,0,TM Odoyo,2007-10-25,1st,J Edness,3,,IH Romaine,0,Kenya,Bermuda,8,Kenya,Gymkhana Club Ground,1,Kenya
31,4.6,0,TM Odoyo,2007-10-25,1st,J Edness,3,,IH Romaine,0,Kenya,Bermuda,8,Kenya,Gymkhana Club Ground,1,Kenya
32,5.1,1,PJ Ongondo,2007-10-25,1st,IH Romaine,0,,J Edness,4,Kenya,Bermuda,9,Kenya,Gymkhana Club Ground,1,Kenya
33,5.2,0,PJ Ongondo,2007-10-25,1st,J Edness,4,,IH Romaine,0,Kenya,Bermuda,9,Kenya,Gymkhana Club Ground,1,Kenya
34,5.3,1,PJ Ongondo,2007-10-25,1st,J Edness,4,,IH Romaine,1,Kenya,Bermuda,10,Kenya,Gymkhana Club Ground,1,Kenya
35,5.4,0,PJ Ongondo,2007-10-25,1st,IH Romaine,1,,J Edness,4,Kenya,Bermuda,10,Kenya,Gymkhana Club Ground,1,Kenya
36,5.5,0,PJ Ongondo,2007-10-25,1st,IH Romaine,1,,J Edness,4,Kenya,Bermuda,10,Kenya,Gymkhana Club Ground,1,Kenya
37,5.6,4,PJ Ongondo,2007-10-25,1st,IH Romaine,1,,J Edness,8,Kenya,Bermuda,14,Kenya,Gymkhana Club Ground,1,Kenya
38,6.1,1,TM Odoyo,2007-10-25,1st,J Edness,8,,IH Romaine,2,Kenya,Bermuda,15,Kenya,Gymkhana Club Ground,1,Kenya
39,6.2,0,TM Odoyo,2007-10-25,1st,IH Romaine,2,,J Edness,8,Kenya,Bermuda,15,Kenya,Gymkhana Club Ground,1,Kenya
40,6.3,0,TM Odoyo,2007-10-25,1st,IH Romaine,2,,J Edness,8,Kenya,Bermuda,16,Kenya,Gymkhana Club Ground,1,Kenya
41,6.4,0,TM Odoyo,2007-10-25,1st,IH Romaine,2,,J Edness,8,Kenya,Bermuda,16,Kenya,Gymkhana Club Ground,1,Kenya
42,6.5,1,TM Odoyo,2007-10-25,1st,IH Romaine,2,,J Edness,9,Kenya,Bermuda,17,Kenya,Gymkhana Club Ground,1,Kenya
43,6.6,0,TM Odoyo,2007-10-25,1st,J Edness,9,,IH Romaine,2,Kenya,Bermuda,17,Kenya,Gymkhana Club Ground,1,Kenya
44,6.7,0,TM Odoyo,2007-10-25,1st,J Edness,9,,IH Romaine,2,Kenya,Bermuda,18,Kenya,Gymkhana Club Ground,1,Kenya
45,6.8,0,TM Odoyo,2007-10-25,1st,J Edness,9,,IH Romaine,2,Kenya,Bermuda,18,Kenya,Gymkhana Club Ground,1,Kenya
46,7.1,0,PJ Ongondo,2007-10-25,1st,IH Romaine,2,,J Edness,9,Kenya,Bermuda,18,Kenya,Gymkhana Club Ground,1,Kenya
47,7.2,1,PJ Ongondo,2007-10-25,1st,IH Romaine,2,,J Edness,10,Kenya,Bermuda,19,Kenya,Gymkhana Club Ground,1,Kenya
48,7.3,0,PJ Ongondo,2007-10-25,1st,J Edness,10,IH Romaine,IH Romaine,2,Kenya,Bermuda,19,Kenya,Gymkhana Club Ground,2,Kenya
49,7.4,0,PJ Ongondo,2007-10-25,1st,J Edness,10,,JJ Celestine,0,Kenya,Bermuda,19,Kenya,Gymkhana Club Ground,2,Kenya
50,7.5,0,PJ Ongondo,2007-10-25,1st,J Edness,10,,JJ Celestine,0,Kenya,Bermuda,19,Kenya,Gymkhana Club Ground,2,Kenya
51,7.6,0,PJ Ongondo,2007-10-25,1st,J Edness,10,,JJ Celestine,0,Kenya,Bermuda,20,Kenya,Gymkhana Club Ground,2,Kenya
52,7.7,0,PJ Ongondo,2007-10-25,1st,J Edness,10,,JJ Celestine,0,Kenya,Bermuda,20,Kenya,Gymkhana Club Ground,2,Kenya
53,8.1,0,TM Odoyo,2007-10-25,1st,JJ Celestine,0,,J Edness,10,Kenya,Bermuda,20,Kenya,Gymkhana Club Ground,2,Kenya
54,8.2,1,TM Odoyo,2007-10-25,1st,JJ Celestine,0,,J Edness,11,Kenya,Bermuda,21,Kenya,Gymkhana Club Ground,2,Kenya
55,8.3,0,TM Odoyo,2007-10-25,1st,J Edness,11,,JJ Celestine,0,Kenya,Bermuda,22,Kenya,Gymkhana Club Ground,2,Kenya
56,8.4,1,TM Odoyo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,23,Kenya,Gymkhana Club Ground,2,Kenya
57,8.5,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,23,Kenya,Gymkhana Club Ground,2,Kenya
58,8.6,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,23,Kenya,Gymkhana Club Ground,2,Kenya
59,8.7,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,23,Kenya,Gymkhana Club Ground,2,Kenya
60,9.1,0,PJ Ongondo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,23,Kenya,Gymkhana Club Ground,2,Kenya
61,9.2,0,PJ Ongondo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
62,9.3,0,PJ Ongondo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
63,9.4,0,PJ Ongondo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
64,9.5,0,PJ Ongondo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
65,9.6,0,PJ Ongondo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
66,9.7,0,PJ Ongondo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
67,10.1,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
68,10.2,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
69,10.3,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
70,10.4,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,24,Kenya,Gymkhana Club Ground,2,Kenya
71,10.5,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,25,Kenya,Gymkhana Club Ground,2,Kenya
72,10.6,0,TM Odoyo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,25,Kenya,Gymkhana Club Ground,2,Kenya
73,10.7,0,TM Odoyo,2007-10-25,1st,J Edness,11,,JJ Celestine,1,Kenya,Bermuda,25,Kenya,Gymkhana Club Ground,2,Kenya
74,11.1,0,PJ Ongondo,2007-10-25,1st,JJ Celestine,1,,J Edness,11,Kenya,Bermuda,25,Kenya,Gymkhana Club Ground,2,Kenya
75,11.2,1,PJ Ongondo,2007-10-25,1st,JJ Celestine,1,,J Edness,12,Kenya,Bermuda,26,Kenya,Gymkhana Club Ground,2,Kenya
76,11.3,1,PJ Ongondo,2007-10-25,1st,J Edness,12,,JJ Celestine,2,Kenya,Bermuda,27,Kenya,Gymkhana Club Ground,2,Kenya
77,11.4,0,PJ Ongondo,2007-10-25,1st,JJ Celestine,2,J Edness,J Edness,12,Kenya,Bermuda,27,Kenya,Gymkhana Club Ground,3,Kenya
78,11.5,0,PJ Ongondo,2007-10-25,1st,JJ Celestine,2,,DL Hemp,0,Kenya,Bermuda,27,Kenya,Gymkhana Club Ground,3,Kenya
79,11.6,0,PJ Ongondo,2007-10-25,1st,JJ Celestine,2,,DL Hemp,0,Kenya,Bermuda,27,Kenya,Gymkhana Club Ground,3,Kenya
80,12.1,1,NN Odhiambo,2007-10-25,1st,DL Hemp,0,,JJ Celestine,3,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
81,12.2,0,NN Odhiambo,2007-10-25,1st,JJ Celestine,3,,DL Hemp,0,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
82,12.3,0,NN Odhiambo,2007-10-25,1st,JJ Celestine,3,,DL Hemp,0,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
83,12.4,0,NN Odhiambo,2007-10-25,1st,JJ Celestine,3,,DL Hemp,0,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
84,12.5,0,NN Odhiambo,2007-10-25,1st,JJ Celestine,3,,DL Hemp,0,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
85,12.6,0,NN Odhiambo,2007-10-25,1st,JJ Celestine,3,,DL Hemp,0,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
86,13.1,0,PJ Ongondo,2007-10-25,1st,DL Hemp,0,,JJ Celestine,3,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
87,13.2,0,PJ Ongondo,2007-10-25,1st,DL Hemp,0,,JJ Celestine,3,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
88,13.3,0,PJ Ongondo,2007-10-25,1st,DL Hemp,0,,JJ Celestine,3,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
89,13.4,0,PJ Ongondo,2007-10-25,1st,DL Hemp,0,,JJ Celestine,3,Kenya,Bermuda,28,Kenya,Gymkhana Club Ground,3,Kenya
90,13.5,4,PJ Ongondo,2007-10-25,1st,DL Hemp,0,,JJ Celestine,7,Kenya,Bermuda,32,Kenya,Gymkhana Club Ground,3,Kenya
91,13.6,0,PJ Ongondo,2007-10-25,1st,DL Hemp,0,,JJ Celestine,7,Kenya,Bermuda,32,Kenya,Gymkhana Club Ground,3,Kenya
92,14.1,0,NN Odhiambo,2007-10-25,1st,JJ Celestine,7,,DL Hemp,0,Kenya,Bermuda,32,Kenya,Gymkhana Club Ground,3,Kenya
93,14.2,0,NN Odhiambo,2007-10-25,1st,JJ Celestine,7,,DL Hemp,0,Kenya,Bermuda,32,Kenya,Gymkhana Club Ground,3,Kenya
94,14.3,0,NN Odhiambo,2007-10-25,1st,JJ Celestine,7,,DL Hemp,0,Kenya,Bermuda,32,Kenya,Gymkhana Club Ground,3,Kenya
