,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,SM Pollock,2007-10-20,1st,Kamran Akmal,0,,Imran Nazir,0,Pakistan,South Africa,0,Pakistan,Gaddafi Stadium,0,Pakistan
1,0.2,1,SM Pollock,2007-10-20,1st,Kamran Akmal,0,,Imran Nazir,1,Pakistan,South Africa,1,Pakistan,Gaddafi Stadium,0,Pakistan
2,0.3,0,SM Pollock,2007-10-20,1st,Imran Nazir,1,,Kamran Akmal,0,Pakistan,South Africa,1,Pakistan,Gaddafi Stadium,0,Pakistan
3,0.4,0,SM Pollock,2007-10-20,1st,Imran Nazir,1,,Kamran Akmal,0,Pakistan,South Africa,1,Pakistan,Gaddafi Stadium,0,Pakistan
4,0.5,0,SM Pollock,2007-10-20,1st,Imran Nazir,1,Kamran Akmal,Kamran Akmal,0,Pakistan,South Africa,1,Pakistan,Gaddafi Stadium,1,Pakistan
5,0.6,1,SM Pollock,2007-10-20,1st,Imran Nazir,1,,Younis Khan,1,Pakistan,South Africa,2,Pakistan,Gaddafi Stadium,1,Pakistan
6,1.1,0,M Ntini,2007-10-20,1st,Imran Nazir,1,,Younis Khan,1,Pakistan,South Africa,2,Pakistan,Gaddafi Stadium,1,Pakistan
7,1.2,0,M Ntini,2007-10-20,1st,Imran Nazir,1,,Younis Khan,1,Pakistan,South Africa,2,Pakistan,Gaddafi Stadium,1,Pakistan
8,1.3,0,M Ntini,2007-10-20,1st,Imran Nazir,1,,Younis Khan,1,Pakistan,South Africa,2,Pakistan,Gaddafi Stadium,1,Pakistan
9,1.4,0,M Ntini,2007-10-20,1st,Imran Nazir,1,,Younis Khan,1,Pakistan,South Africa,2,Pakistan,Gaddafi Stadium,1,Pakistan
10,1.5,1,M Ntini,2007-10-20,1st,Imran Nazir,1,,Younis Khan,2,Pakistan,South Africa,3,Pakistan,Gaddafi Stadium,1,Pakistan
11,1.6,0,M Ntini,2007-10-20,1st,Younis Khan,2,,Imran Nazir,1,Pakistan,South Africa,3,Pakistan,Gaddafi Stadium,1,Pakistan
12,2.1,0,SM Pollock,2007-10-20,1st,Imran Nazir,1,,Younis Khan,2,Pakistan,South Africa,3,Pakistan,Gaddafi Stadium,1,Pakistan
13,2.2,0,SM Pollock,2007-10-20,1st,Imran Nazir,1,,Younis Khan,2,Pakistan,South Africa,3,Pakistan,Gaddafi Stadium,1,Pakistan
