,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,Mashrafe Mortaza,2010-12-03,1st,CJ Chibhabha,0,,BRM Taylor,0,Bangladesh,Zimbabwe,2,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
1,0.2,0,Mashrafe Mortaza,2010-12-03,1st,CJ Chibhabha,0,,BRM Taylor,0,Bangladesh,Zimbabwe,2,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
2,0.3,4,Mashrafe Mortaza,2010-12-03,1st,CJ Chibhabha,0,,BRM Taylor,4,Bangladesh,Zimbabwe,6,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
3,0.4,0,Mashrafe Mortaza,2010-12-03,1st,CJ Chibhabha,0,,BRM Taylor,4,Bangladesh,Zimbabwe,6,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
4,0.5,0,Mashrafe Mortaza,2010-12-03,1st,CJ Chibhabha,0,,BRM Taylor,4,Bangladesh,Zimbabwe,7,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
5,0.6,1,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,4,,CJ Chibhabha,1,Bangladesh,Zimbabwe,8,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
6,1.1,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,4,,CJ Chibhabha,1,Bangladesh,Zimbabwe,9,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
7,1.2,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,4,,CJ Chibhabha,1,Bangladesh,Zimbabwe,9,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
8,1.3,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,4,,CJ Chibhabha,1,Bangladesh,Zimbabwe,10,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
9,1.4,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,4,,CJ Chibhabha,1,Bangladesh,Zimbabwe,10,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
10,1.5,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,4,,CJ Chibhabha,1,Bangladesh,Zimbabwe,10,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
11,1.6,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,4,,CJ Chibhabha,1,Bangladesh,Zimbabwe,10,Bangladesh,Shere Bangla National Stadium,0,Bangladesh
12,1.7,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,4,CJ Chibhabha,CJ Chibhabha,1,Bangladesh,Zimbabwe,10,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
13,1.8,2,Shafiul Islam,2010-12-03,1st,RW Chakabva,0,,BRM Taylor,6,Bangladesh,Zimbabwe,12,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
14,2.1,0,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,6,,RW Chakabva,0,Bangladesh,Zimbabwe,12,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
15,2.2,0,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,6,,RW Chakabva,0,Bangladesh,Zimbabwe,12,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
16,2.3,1,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,6,,RW Chakabva,1,Bangladesh,Zimbabwe,13,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
17,2.4,0,Mashrafe Mortaza,2010-12-03,1st,RW Chakabva,1,,BRM Taylor,6,Bangladesh,Zimbabwe,13,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
18,2.5,1,Mashrafe Mortaza,2010-12-03,1st,RW Chakabva,1,,BRM Taylor,7,Bangladesh,Zimbabwe,14,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
19,2.6,1,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,2,Bangladesh,Zimbabwe,15,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
20,3.1,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,2,Bangladesh,Zimbabwe,15,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
21,3.2,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,2,Bangladesh,Zimbabwe,15,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
22,3.3,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,2,Bangladesh,Zimbabwe,15,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
23,3.4,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,2,Bangladesh,Zimbabwe,15,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
24,3.5,1,Shafiul Islam,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,3,Bangladesh,Zimbabwe,16,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
25,3.6,0,Shafiul Islam,2010-12-03,1st,RW Chakabva,3,,BRM Taylor,7,Bangladesh,Zimbabwe,16,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
26,4.1,0,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,3,Bangladesh,Zimbabwe,16,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
27,4.2,4,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,7,Bangladesh,Zimbabwe,20,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
28,4.3,0,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,7,Bangladesh,Zimbabwe,20,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
29,4.4,1,Mashrafe Mortaza,2010-12-03,1st,BRM Taylor,7,,RW Chakabva,8,Bangladesh,Zimbabwe,21,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
30,4.5,4,Mashrafe Mortaza,2010-12-03,1st,RW Chakabva,8,,BRM Taylor,11,Bangladesh,Zimbabwe,25,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
31,4.6,0,Mashrafe Mortaza,2010-12-03,1st,RW Chakabva,8,,BRM Taylor,11,Bangladesh,Zimbabwe,25,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
32,5.1,0,Shafiul Islam,2010-12-03,1st,BRM Taylor,11,,RW Chakabva,8,Bangladesh,Zimbabwe,25,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
33,5.2,1,Shafiul Islam,2010-12-03,1st,BRM Taylor,11,,RW Chakabva,9,Bangladesh,Zimbabwe,26,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
34,5.3,0,Shafiul Islam,2010-12-03,1st,RW Chakabva,9,,BRM Taylor,11,Bangladesh,Zimbabwe,26,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
35,5.4,4,Shafiul Islam,2010-12-03,1st,RW Chakabva,9,,BRM Taylor,15,Bangladesh,Zimbabwe,30,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
36,5.5,4,Shafiul Islam,2010-12-03,1st,RW Chakabva,9,,BRM Taylor,19,Bangladesh,Zimbabwe,34,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
37,5.6,0,Shafiul Islam,2010-12-03,1st,RW Chakabva,9,,BRM Taylor,19,Bangladesh,Zimbabwe,34,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
38,6.1,0,Abdur Razzak,2010-12-03,1st,BRM Taylor,19,,RW Chakabva,9,Bangladesh,Zimbabwe,34,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
39,6.2,1,Abdur Razzak,2010-12-03,1st,BRM Taylor,19,,RW Chakabva,10,Bangladesh,Zimbabwe,35,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
40,6.3,0,Abdur Razzak,2010-12-03,1st,RW Chakabva,10,,BRM Taylor,19,Bangladesh,Zimbabwe,35,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
41,6.4,0,Abdur Razzak,2010-12-03,1st,RW Chakabva,10,,BRM Taylor,19,Bangladesh,Zimbabwe,35,Bangladesh,Shere Bangla National Stadium,1,Bangladesh
