,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,SL Malinga,2011-02-03,1st,AB Barath,0,,CH Gayle,0,Sri Lanka,West Indies,0,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
1,0.2,2,SL Malinga,2011-02-03,1st,AB Barath,0,,CH Gayle,2,Sri Lanka,West Indies,2,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
2,0.3,0,SL Malinga,2011-02-03,1st,AB Barath,0,,CH Gayle,2,Sri Lanka,West Indies,2,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
3,0.4,0,SL Malinga,2011-02-03,1st,AB Barath,0,,CH Gayle,2,Sri Lanka,West Indies,2,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
4,0.5,0,SL Malinga,2011-02-03,1st,AB Barath,0,,CH Gayle,2,Sri Lanka,West Indies,2,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
5,0.6,0,SL Malinga,2011-02-03,1st,AB Barath,0,,CH Gayle,2,Sri Lanka,West Indies,2,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
6,1.1,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,2,,AB Barath,0,Sri Lanka,West Indies,2,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
7,1.2,4,KMDN Kulasekara,2011-02-03,1st,CH Gayle,2,,AB Barath,4,Sri Lanka,West Indies,6,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
8,1.3,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,2,,AB Barath,4,Sri Lanka,West Indies,6,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
9,1.4,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,2,,AB Barath,4,Sri Lanka,West Indies,6,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
10,1.5,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,2,,AB Barath,4,Sri Lanka,West Indies,6,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
11,1.6,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,2,,AB Barath,4,Sri Lanka,West Indies,6,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
12,2.1,2,SL Malinga,2011-02-03,1st,AB Barath,4,,CH Gayle,4,Sri Lanka,West Indies,8,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
13,2.2,0,SL Malinga,2011-02-03,1st,AB Barath,4,,CH Gayle,4,Sri Lanka,West Indies,8,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
14,2.3,0,SL Malinga,2011-02-03,1st,AB Barath,4,,CH Gayle,4,Sri Lanka,West Indies,8,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
15,2.4,0,SL Malinga,2011-02-03,1st,AB Barath,4,,CH Gayle,4,Sri Lanka,West Indies,8,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
16,2.5,0,SL Malinga,2011-02-03,1st,AB Barath,4,,CH Gayle,4,Sri Lanka,West Indies,8,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
17,2.6,0,SL Malinga,2011-02-03,1st,AB Barath,4,,CH Gayle,4,Sri Lanka,West Indies,8,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
18,3.1,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,4,,AB Barath,4,Sri Lanka,West Indies,8,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
19,3.2,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,4,,AB Barath,4,Sri Lanka,West Indies,8,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
20,3.3,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,4,,AB Barath,4,Sri Lanka,West Indies,12,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
21,3.4,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,4,,AB Barath,4,Sri Lanka,West Indies,12,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
22,3.5,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,4,,AB Barath,4,Sri Lanka,West Indies,12,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
23,3.6,0,KMDN Kulasekara,2011-02-03,1st,CH Gayle,4,,AB Barath,4,Sri Lanka,West Indies,12,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
24,4.1,0,SL Malinga,2011-02-03,1st,AB Barath,4,,CH Gayle,4,Sri Lanka,West Indies,13,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
25,4.2,0,SL Malinga,2011-02-03,1st,AB Barath,4,,CH Gayle,4,Sri Lanka,West Indies,13,Sri Lanka,Sinhalese Sports Club Ground,0,Sri Lanka
