,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,B Lee,2011-08-20,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Australia
1,0.2,0,B Lee,2011-08-20,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Australia
2,0.3,0,B Lee,2011-08-20,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Australia
3,0.4,0,B Lee,2011-08-20,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Australia
4,0.5,0,B Lee,2011-08-20,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Australia
5,0.6,0,B Lee,2011-08-20,1st,TM Dilshan,0,,WU Tharanga,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Australia
6,1.1,0,DE Bollinger,2011-08-20,1st,WU Tharanga,0,,TM Dilshan,0,Sri Lanka,Australia,0,Sri Lanka,R Premadasa Stadium,0,Australia
7,1.2,1,DE Bollinger,2011-08-20,1st,WU Tharanga,0,,TM Dilshan,1,Sri Lanka,Australia,1,Sri Lanka,R Premadasa Stadium,0,Australia
8,1.3,0,DE Bollinger,2011-08-20,1st,TM Dilshan,1,,WU Tharanga,0,Sri Lanka,Australia,1,Sri Lanka,R Premadasa Stadium,0,Australia
9,1.4,0,DE Bollinger,2011-08-20,1st,TM Dilshan,1,,WU Tharanga,0,Sri Lanka,Australia,1,Sri Lanka,R Premadasa Stadium,0,Australia
10,1.5,4,DE Bollinger,2011-08-20,1st,TM Dilshan,1,,WU Tharanga,4,Sri Lanka,Australia,5,Sri Lanka,R Premadasa Stadium,0,Australia
11,1.6,0,DE Bollinger,2011-08-20,1st,TM Dilshan,1,,WU Tharanga,4,Sri Lanka,Australia,5,Sri Lanka,R Premadasa Stadium,0,Australia
12,2.1,1,B Lee,2011-08-20,1st,WU Tharanga,4,,TM Dilshan,2,Sri Lanka,Australia,6,Sri Lanka,R Premadasa Stadium,0,Australia
13,2.2,1,B Lee,2011-08-20,1st,TM Dilshan,2,,WU Tharanga,5,Sri Lanka,Australia,7,Sri Lanka,R Premadasa Stadium,0,Australia
14,2.3,0,B Lee,2011-08-20,1st,WU Tharanga,5,,TM Dilshan,2,Sri Lanka,Australia,7,Sri Lanka,R Premadasa Stadium,0,Australia
15,2.4,1,B Lee,2011-08-20,1st,WU Tharanga,5,,TM Dilshan,3,Sri Lanka,Australia,8,Sri Lanka,R Premadasa Stadium,0,Australia
16,2.5,0,B Lee,2011-08-20,1st,TM Dilshan,3,,WU Tharanga,5,Sri Lanka,Australia,8,Sri Lanka,R Premadasa Stadium,0,Australia
17,2.6,0,B Lee,2011-08-20,1st,TM Dilshan,3,,WU Tharanga,5,Sri Lanka,Australia,8,Sri Lanka,R Premadasa Stadium,0,Australia
18,3.1,0,DE Bollinger,2011-08-20,1st,WU Tharanga,5,,TM Dilshan,3,Sri Lanka,Australia,8,Sri Lanka,R Premadasa Stadium,0,Australia
19,3.2,0,DE Bollinger,2011-08-20,1st,WU Tharanga,5,,TM Dilshan,3,Sri Lanka,Australia,8,Sri Lanka,R Premadasa Stadium,0,Australia
20,3.3,4,DE Bollinger,2011-08-20,1st,WU Tharanga,5,,TM Dilshan,7,Sri Lanka,Australia,12,Sri Lanka,R Premadasa Stadium,0,Australia
21,3.4,0,DE Bollinger,2011-08-20,1st,WU Tharanga,5,,TM Dilshan,7,Sri Lanka,Australia,12,Sri Lanka,R Premadasa Stadium,0,Australia
22,3.5,0,DE Bollinger,2011-08-20,1st,WU Tharanga,5,,TM Dilshan,7,Sri Lanka,Australia,12,Sri Lanka,R Premadasa Stadium,0,Australia
23,3.6,4,DE Bollinger,2011-08-20,1st,WU Tharanga,5,,TM Dilshan,11,Sri Lanka,Australia,16,Sri Lanka,R Premadasa Stadium,0,Australia
24,4.1,1,B Lee,2011-08-20,1st,TM Dilshan,11,,WU Tharanga,6,Sri Lanka,Australia,17,Sri Lanka,R Premadasa Stadium,0,Australia
25,4.2,0,B Lee,2011-08-20,1st,WU Tharanga,6,,TM Dilshan,11,Sri Lanka,Australia,17,Sri Lanka,R Premadasa Stadium,0,Australia
26,4.3,1,B Lee,2011-08-20,1st,WU Tharanga,6,,TM Dilshan,12,Sri Lanka,Australia,18,Sri Lanka,R Premadasa Stadium,0,Australia
27,4.4,0,B Lee,2011-08-20,1st,TM Dilshan,12,,WU Tharanga,6,Sri Lanka,Australia,18,Sri Lanka,R Premadasa Stadium,0,Australia
28,4.5,1,B Lee,2011-08-20,1st,TM Dilshan,12,,WU Tharanga,7,Sri Lanka,Australia,19,Sri Lanka,R Premadasa Stadium,0,Australia
29,4.6,0,B Lee,2011-08-20,1st,WU Tharanga,7,,TM Dilshan,12,Sri Lanka,Australia,19,Sri Lanka,R Premadasa Stadium,0,Australia
30,5.1,0,DE Bollinger,2011-08-20,1st,TM Dilshan,12,,WU Tharanga,7,Sri Lanka,Australia,19,Sri Lanka,R Premadasa Stadium,0,Australia
31,5.2,0,DE Bollinger,2011-08-20,1st,TM Dilshan,12,,WU Tharanga,7,Sri Lanka,Australia,19,Sri Lanka,R Premadasa Stadium,0,Australia
32,5.3,0,DE Bollinger,2011-08-20,1st,TM Dilshan,12,,WU Tharanga,7,Sri Lanka,Australia,19,Sri Lanka,R Premadasa Stadium,0,Australia
33,5.4,1,DE Bollinger,2011-08-20,1st,TM Dilshan,12,,WU Tharanga,8,Sri Lanka,Australia,20,Sri Lanka,R Premadasa Stadium,0,Australia
34,5.5,0,DE Bollinger,2011-08-20,1st,WU Tharanga,8,TM Dilshan,TM Dilshan,12,Sri Lanka,Australia,20,Sri Lanka,R Premadasa Stadium,1,Australia
35,5.6,0,DE Bollinger,2011-08-20,1st,WU Tharanga,8,,KC Sangakkara,0,Sri Lanka,Australia,24,Sri Lanka,R Premadasa Stadium,1,Australia
36,6.1,0,B Lee,2011-08-20,1st,KC Sangakkara,0,,WU Tharanga,8,Sri Lanka,Australia,24,Sri Lanka,R Premadasa Stadium,1,Australia
37,6.2,0,B Lee,2011-08-20,1st,KC Sangakkara,0,WU Tharanga,WU Tharanga,8,Sri Lanka,Australia,24,Sri Lanka,R Premadasa Stadium,2,Australia
38,6.3,0,B Lee,2011-08-20,1st,KC Sangakkara,0,,DPMD Jayawardene,0,Sri Lanka,Australia,24,Sri Lanka,R Premadasa Stadium,2,Australia
39,6.4,2,B Lee,2011-08-20,1st,KC Sangakkara,0,,DPMD Jayawardene,2,Sri Lanka,Australia,26,Sri Lanka,R Premadasa Stadium,2,Australia
40,6.5,1,B Lee,2011-08-20,1st,KC Sangakkara,0,,DPMD Jayawardene,3,Sri Lanka,Australia,27,Sri Lanka,R Premadasa Stadium,2,Australia
41,6.6,0,B Lee,2011-08-20,1st,DPMD Jayawardene,3,,KC Sangakkara,0,Sri Lanka,Australia,27,Sri Lanka,R Premadasa Stadium,2,Australia
42,7.1,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,0,,DPMD Jayawardene,3,Sri Lanka,Australia,27,Sri Lanka,R Premadasa Stadium,2,Australia
43,7.2,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,0,,DPMD Jayawardene,3,Sri Lanka,Australia,27,Sri Lanka,R Premadasa Stadium,2,Australia
44,7.3,1,DE Bollinger,2011-08-20,1st,KC Sangakkara,0,,DPMD Jayawardene,4,Sri Lanka,Australia,28,Sri Lanka,R Premadasa Stadium,2,Australia
45,7.4,0,DE Bollinger,2011-08-20,1st,DPMD Jayawardene,4,,KC Sangakkara,0,Sri Lanka,Australia,29,Sri Lanka,R Premadasa Stadium,2,Australia
46,7.5,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,0,,DPMD Jayawardene,4,Sri Lanka,Australia,29,Sri Lanka,R Premadasa Stadium,2,Australia
47,7.6,4,DE Bollinger,2011-08-20,1st,KC Sangakkara,0,,DPMD Jayawardene,8,Sri Lanka,Australia,33,Sri Lanka,R Premadasa Stadium,2,Australia
48,8.1,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,8,,KC Sangakkara,0,Sri Lanka,Australia,33,Sri Lanka,R Premadasa Stadium,2,Australia
49,8.2,1,MG Johnson,2011-08-20,1st,DPMD Jayawardene,8,,KC Sangakkara,1,Sri Lanka,Australia,34,Sri Lanka,R Premadasa Stadium,2,Australia
50,8.3,1,MG Johnson,2011-08-20,1st,KC Sangakkara,1,,DPMD Jayawardene,9,Sri Lanka,Australia,35,Sri Lanka,R Premadasa Stadium,2,Australia
51,8.4,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,9,,KC Sangakkara,1,Sri Lanka,Australia,35,Sri Lanka,R Premadasa Stadium,2,Australia
52,8.5,2,MG Johnson,2011-08-20,1st,DPMD Jayawardene,9,,KC Sangakkara,3,Sri Lanka,Australia,37,Sri Lanka,R Premadasa Stadium,2,Australia
53,8.6,1,MG Johnson,2011-08-20,1st,DPMD Jayawardene,9,,KC Sangakkara,4,Sri Lanka,Australia,38,Sri Lanka,R Premadasa Stadium,2,Australia
54,9.1,0,SR Watson,2011-08-20,1st,DPMD Jayawardene,9,,KC Sangakkara,4,Sri Lanka,Australia,38,Sri Lanka,R Premadasa Stadium,2,Australia
55,9.2,0,SR Watson,2011-08-20,1st,DPMD Jayawardene,9,,KC Sangakkara,4,Sri Lanka,Australia,38,Sri Lanka,R Premadasa Stadium,2,Australia
56,9.3,1,SR Watson,2011-08-20,1st,DPMD Jayawardene,9,,KC Sangakkara,5,Sri Lanka,Australia,39,Sri Lanka,R Premadasa Stadium,2,Australia
57,9.4,0,SR Watson,2011-08-20,1st,KC Sangakkara,5,,DPMD Jayawardene,9,Sri Lanka,Australia,39,Sri Lanka,R Premadasa Stadium,2,Australia
58,9.5,2,SR Watson,2011-08-20,1st,KC Sangakkara,5,,DPMD Jayawardene,11,Sri Lanka,Australia,41,Sri Lanka,R Premadasa Stadium,2,Australia
59,9.6,0,SR Watson,2011-08-20,1st,KC Sangakkara,5,,DPMD Jayawardene,11,Sri Lanka,Australia,41,Sri Lanka,R Premadasa Stadium,2,Australia
60,10.1,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,11,,KC Sangakkara,5,Sri Lanka,Australia,41,Sri Lanka,R Premadasa Stadium,2,Australia
61,10.2,2,MG Johnson,2011-08-20,1st,DPMD Jayawardene,11,,KC Sangakkara,7,Sri Lanka,Australia,43,Sri Lanka,R Premadasa Stadium,2,Australia
62,10.3,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,11,,KC Sangakkara,7,Sri Lanka,Australia,43,Sri Lanka,R Premadasa Stadium,2,Australia
63,10.4,2,MG Johnson,2011-08-20,1st,DPMD Jayawardene,11,,KC Sangakkara,9,Sri Lanka,Australia,45,Sri Lanka,R Premadasa Stadium,2,Australia
64,10.5,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,11,,KC Sangakkara,9,Sri Lanka,Australia,45,Sri Lanka,R Premadasa Stadium,2,Australia
65,10.6,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,11,,KC Sangakkara,9,Sri Lanka,Australia,45,Sri Lanka,R Premadasa Stadium,2,Australia
66,11.1,0,SR Watson,2011-08-20,1st,KC Sangakkara,9,,DPMD Jayawardene,11,Sri Lanka,Australia,45,Sri Lanka,R Premadasa Stadium,2,Australia
67,11.2,1,SR Watson,2011-08-20,1st,KC Sangakkara,9,,DPMD Jayawardene,12,Sri Lanka,Australia,46,Sri Lanka,R Premadasa Stadium,2,Australia
68,11.3,0,SR Watson,2011-08-20,1st,DPMD Jayawardene,12,,KC Sangakkara,9,Sri Lanka,Australia,46,Sri Lanka,R Premadasa Stadium,2,Australia
69,11.4,1,SR Watson,2011-08-20,1st,DPMD Jayawardene,12,,KC Sangakkara,10,Sri Lanka,Australia,47,Sri Lanka,R Premadasa Stadium,2,Australia
70,11.5,1,SR Watson,2011-08-20,1st,KC Sangakkara,10,,DPMD Jayawardene,13,Sri Lanka,Australia,48,Sri Lanka,R Premadasa Stadium,2,Australia
71,11.6,1,SR Watson,2011-08-20,1st,DPMD Jayawardene,13,,KC Sangakkara,11,Sri Lanka,Australia,49,Sri Lanka,R Premadasa Stadium,2,Australia
72,12.1,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,13,,KC Sangakkara,11,Sri Lanka,Australia,49,Sri Lanka,R Premadasa Stadium,2,Australia
73,12.2,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,13,,KC Sangakkara,11,Sri Lanka,Australia,49,Sri Lanka,R Premadasa Stadium,2,Australia
74,12.3,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,13,,KC Sangakkara,11,Sri Lanka,Australia,49,Sri Lanka,R Premadasa Stadium,2,Australia
75,12.4,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,13,,KC Sangakkara,11,Sri Lanka,Australia,49,Sri Lanka,R Premadasa Stadium,2,Australia
76,12.5,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,13,,KC Sangakkara,11,Sri Lanka,Australia,49,Sri Lanka,R Premadasa Stadium,2,Australia
77,12.6,1,MG Johnson,2011-08-20,1st,DPMD Jayawardene,13,,KC Sangakkara,12,Sri Lanka,Australia,50,Sri Lanka,R Premadasa Stadium,2,Australia
78,13.1,1,SR Watson,2011-08-20,1st,DPMD Jayawardene,13,,KC Sangakkara,13,Sri Lanka,Australia,51,Sri Lanka,R Premadasa Stadium,2,Australia
79,13.2,0,SR Watson,2011-08-20,1st,KC Sangakkara,13,,DPMD Jayawardene,13,Sri Lanka,Australia,51,Sri Lanka,R Premadasa Stadium,2,Australia
80,13.3,0,SR Watson,2011-08-20,1st,KC Sangakkara,13,,DPMD Jayawardene,13,Sri Lanka,Australia,51,Sri Lanka,R Premadasa Stadium,2,Australia
81,13.4,1,SR Watson,2011-08-20,1st,KC Sangakkara,13,,DPMD Jayawardene,14,Sri Lanka,Australia,52,Sri Lanka,R Premadasa Stadium,2,Australia
82,13.5,1,SR Watson,2011-08-20,1st,DPMD Jayawardene,14,,KC Sangakkara,14,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,2,Australia
83,13.6,0,SR Watson,2011-08-20,1st,KC Sangakkara,14,,DPMD Jayawardene,14,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,2,Australia
84,14.1,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,14,,KC Sangakkara,14,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,2,Australia
85,14.2,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,14,,KC Sangakkara,14,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,2,Australia
86,14.3,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,14,,KC Sangakkara,14,Sri Lanka,Australia,53,Sri Lanka,R Premadasa Stadium,2,Australia
87,14.4,2,MG Johnson,2011-08-20,1st,DPMD Jayawardene,14,,KC Sangakkara,16,Sri Lanka,Australia,55,Sri Lanka,R Premadasa Stadium,2,Australia
88,14.5,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,14,,KC Sangakkara,16,Sri Lanka,Australia,55,Sri Lanka,R Premadasa Stadium,2,Australia
89,14.6,4,MG Johnson,2011-08-20,1st,DPMD Jayawardene,14,,KC Sangakkara,20,Sri Lanka,Australia,59,Sri Lanka,R Premadasa Stadium,2,Australia
90,15.1,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,20,,DPMD Jayawardene,14,Sri Lanka,Australia,59,Sri Lanka,R Premadasa Stadium,2,Australia
91,15.2,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,20,,DPMD Jayawardene,14,Sri Lanka,Australia,59,Sri Lanka,R Premadasa Stadium,2,Australia
92,15.3,1,XJ Doherty,2011-08-20,1st,KC Sangakkara,20,,DPMD Jayawardene,15,Sri Lanka,Australia,60,Sri Lanka,R Premadasa Stadium,2,Australia
93,15.4,1,XJ Doherty,2011-08-20,1st,DPMD Jayawardene,15,,KC Sangakkara,21,Sri Lanka,Australia,61,Sri Lanka,R Premadasa Stadium,2,Australia
94,15.5,1,XJ Doherty,2011-08-20,1st,KC Sangakkara,21,,DPMD Jayawardene,16,Sri Lanka,Australia,62,Sri Lanka,R Premadasa Stadium,2,Australia
95,15.6,0,XJ Doherty,2011-08-20,1st,DPMD Jayawardene,16,,KC Sangakkara,21,Sri Lanka,Australia,62,Sri Lanka,R Premadasa Stadium,2,Australia
96,16.1,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,21,,DPMD Jayawardene,16,Sri Lanka,Australia,62,Sri Lanka,R Premadasa Stadium,2,Australia
97,16.2,1,DE Bollinger,2011-08-20,1st,KC Sangakkara,21,,DPMD Jayawardene,17,Sri Lanka,Australia,63,Sri Lanka,R Premadasa Stadium,2,Australia
98,16.3,0,DE Bollinger,2011-08-20,1st,DPMD Jayawardene,17,,KC Sangakkara,21,Sri Lanka,Australia,63,Sri Lanka,R Premadasa Stadium,2,Australia
99,16.4,1,DE Bollinger,2011-08-20,1st,DPMD Jayawardene,17,,KC Sangakkara,22,Sri Lanka,Australia,64,Sri Lanka,R Premadasa Stadium,2,Australia
100,16.5,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,22,,DPMD Jayawardene,17,Sri Lanka,Australia,64,Sri Lanka,R Premadasa Stadium,2,Australia
101,16.6,1,DE Bollinger,2011-08-20,1st,KC Sangakkara,22,,DPMD Jayawardene,18,Sri Lanka,Australia,65,Sri Lanka,R Premadasa Stadium,2,Australia
102,17.1,1,XJ Doherty,2011-08-20,1st,KC Sangakkara,22,,DPMD Jayawardene,19,Sri Lanka,Australia,66,Sri Lanka,R Premadasa Stadium,2,Australia
103,17.2,0,XJ Doherty,2011-08-20,1st,DPMD Jayawardene,19,,KC Sangakkara,22,Sri Lanka,Australia,66,Sri Lanka,R Premadasa Stadium,2,Australia
104,17.3,1,XJ Doherty,2011-08-20,1st,DPMD Jayawardene,19,,KC Sangakkara,23,Sri Lanka,Australia,67,Sri Lanka,R Premadasa Stadium,2,Australia
105,17.4,1,XJ Doherty,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,20,Sri Lanka,Australia,68,Sri Lanka,R Premadasa Stadium,2,Australia
106,17.5,0,XJ Doherty,2011-08-20,1st,DPMD Jayawardene,20,,KC Sangakkara,23,Sri Lanka,Australia,68,Sri Lanka,R Premadasa Stadium,2,Australia
107,17.6,0,XJ Doherty,2011-08-20,1st,DPMD Jayawardene,20,,KC Sangakkara,23,Sri Lanka,Australia,68,Sri Lanka,R Premadasa Stadium,2,Australia
108,18.1,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,20,Sri Lanka,Australia,68,Sri Lanka,R Premadasa Stadium,2,Australia
109,18.2,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,20,Sri Lanka,Australia,69,Sri Lanka,R Premadasa Stadium,2,Australia
110,18.3,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,20,Sri Lanka,Australia,69,Sri Lanka,R Premadasa Stadium,2,Australia
111,18.4,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,20,Sri Lanka,Australia,69,Sri Lanka,R Premadasa Stadium,2,Australia
112,18.5,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,20,Sri Lanka,Australia,69,Sri Lanka,R Premadasa Stadium,2,Australia
113,18.6,0,DE Bollinger,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,20,Sri Lanka,Australia,69,Sri Lanka,R Premadasa Stadium,2,Australia
114,18.7,1,DE Bollinger,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,21,Sri Lanka,Australia,70,Sri Lanka,R Premadasa Stadium,2,Australia
115,19.1,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,21,Sri Lanka,Australia,70,Sri Lanka,R Premadasa Stadium,2,Australia
116,19.2,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,21,Sri Lanka,Australia,70,Sri Lanka,R Premadasa Stadium,2,Australia
117,19.3,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,21,Sri Lanka,Australia,70,Sri Lanka,R Premadasa Stadium,2,Australia
118,19.4,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,21,Sri Lanka,Australia,70,Sri Lanka,R Premadasa Stadium,2,Australia
119,19.5,1,XJ Doherty,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,22,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,2,Australia
120,19.6,0,XJ Doherty,2011-08-20,1st,DPMD Jayawardene,22,,KC Sangakkara,23,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,2,Australia
121,20.1,0,MG Johnson,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,22,Sri Lanka,Australia,71,Sri Lanka,R Premadasa Stadium,2,Australia
122,20.2,1,MG Johnson,2011-08-20,1st,KC Sangakkara,23,,DPMD Jayawardene,23,Sri Lanka,Australia,72,Sri Lanka,R Premadasa Stadium,2,Australia
123,20.3,2,MG Johnson,2011-08-20,1st,DPMD Jayawardene,23,,KC Sangakkara,25,Sri Lanka,Australia,74,Sri Lanka,R Premadasa Stadium,2,Australia
124,20.4,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,23,,KC Sangakkara,25,Sri Lanka,Australia,74,Sri Lanka,R Premadasa Stadium,2,Australia
125,20.5,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,23,,KC Sangakkara,25,Sri Lanka,Australia,74,Sri Lanka,R Premadasa Stadium,2,Australia
126,20.6,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,23,,KC Sangakkara,25,Sri Lanka,Australia,74,Sri Lanka,R Premadasa Stadium,2,Australia
127,21.1,4,XJ Doherty,2011-08-20,1st,KC Sangakkara,25,,DPMD Jayawardene,27,Sri Lanka,Australia,78,Sri Lanka,R Premadasa Stadium,2,Australia
128,21.2,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,25,,DPMD Jayawardene,27,Sri Lanka,Australia,78,Sri Lanka,R Premadasa Stadium,2,Australia
129,21.3,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,25,,DPMD Jayawardene,27,Sri Lanka,Australia,78,Sri Lanka,R Premadasa Stadium,2,Australia
130,21.4,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,25,,DPMD Jayawardene,27,Sri Lanka,Australia,78,Sri Lanka,R Premadasa Stadium,2,Australia
131,21.5,2,XJ Doherty,2011-08-20,1st,KC Sangakkara,25,,DPMD Jayawardene,29,Sri Lanka,Australia,80,Sri Lanka,R Premadasa Stadium,2,Australia
132,21.6,0,XJ Doherty,2011-08-20,1st,KC Sangakkara,25,,DPMD Jayawardene,29,Sri Lanka,Australia,80,Sri Lanka,R Premadasa Stadium,2,Australia
133,22.1,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,29,,KC Sangakkara,25,Sri Lanka,Australia,80,Sri Lanka,R Premadasa Stadium,2,Australia
134,22.2,0,MG Johnson,2011-08-20,1st,DPMD Jayawardene,29,,KC Sangakkara,25,Sri Lanka,Australia,80,Sri Lanka,R Premadasa Stadium,2,Australia
135,22.3,1,MG Johnson,2011-08-20,1st,DPMD Jayawardene,29,,KC Sangakkara,26,Sri Lanka,Australia,81,Sri Lanka,R Premadasa Stadium,2,Australia
136,22.4,1,MG Johnson,2011-08-20,1st,KC Sangakkara,26,,DPMD Jayawardene,30,Sri Lanka,Australia,82,Sri Lanka,R Premadasa Stadium,2,Australia
137,22.5,1,MG Johnson,2011-08-20,1st,DPMD Jayawardene,30,,KC Sangakkara,27,Sri Lanka,Australia,83,Sri Lanka,R Premadasa Stadium,2,Australia
138,22.6,0,MG Johnson,2011-08-20,1st,KC Sangakkara,27,,DPMD Jayawardene,30,Sri Lanka,Australia,83,Sri Lanka,R Premadasa Stadium,2,Australia
139,23.1,0,B Lee,2011-08-20,1st,DPMD Jayawardene,30,,KC Sangakkara,27,Sri Lanka,Australia,83,Sri Lanka,R Premadasa Stadium,2,Australia
140,23.2,2,B Lee,2011-08-20,1st,DPMD Jayawardene,30,,KC Sangakkara,29,Sri Lanka,Australia,85,Sri Lanka,R Premadasa Stadium,2,Australia
141,23.3,1,B Lee,2011-08-20,1st,DPMD Jayawardene,30,,KC Sangakkara,30,Sri Lanka,Australia,86,Sri Lanka,R Premadasa Stadium,2,Australia
142,23.4,0,B Lee,2011-08-20,1st,KC Sangakkara,30,,DPMD Jayawardene,30,Sri Lanka,Australia,86,Sri Lanka,R Premadasa Stadium,2,Australia
143,23.5,0,B Lee,2011-08-20,1st,KC Sangakkara,30,,DPMD Jayawardene,30,Sri Lanka,Australia,86,Sri Lanka,R Premadasa Stadium,2,Australia
144,23.6,0,B Lee,2011-08-20,1st,KC Sangakkara,30,,DPMD Jayawardene,30,Sri Lanka,Australia,86,Sri Lanka,R Premadasa Stadium,2,Australia
145,24.1,1,MG Johnson,2011-08-20,1st,DPMD Jayawardene,30,,KC Sangakkara,31,Sri Lanka,Australia,87,Sri Lanka,R Premadasa Stadium,2,Australia
146,24.2,0,MG Johnson,2011-08-20,1st,KC Sangakkara,31,,DPMD Jayawardene,30,Sri Lanka,Australia,87,Sri Lanka,R Premadasa Stadium,2,Australia
147,24.3,0,MG Johnson,2011-08-20,1st,KC Sangakkara,31,,DPMD Jayawardene,30,Sri Lanka,Australia,87,Sri Lanka,R Premadasa Stadium,2,Australia
148,24.4,4,MG Johnson,2011-08-20,1st,KC Sangakkara,31,,DPMD Jayawardene,34,Sri Lanka,Australia,91,Sri Lanka,R Premadasa Stadium,2,Australia
149,24.5,0,MG Johnson,2011-08-20,1st,KC Sangakkara,31,,DPMD Jayawardene,34,Sri Lanka,Australia,92,Sri Lanka,R Premadasa Stadium,2,Australia
150,24.6,0,MG Johnson,2011-08-20,1st,KC Sangakkara,31,,DPMD Jayawardene,34,Sri Lanka,Australia,92,Sri Lanka,R Premadasa Stadium,2,Australia
