,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,Syed Rasel,2009-08-16,1st,H Masakadza,0,,MA Vermeulen,0,Zimbabwe,Bangladesh,0,Zimbabwe,Queens Sports Club,0,Bangladesh
1,0.2,1,Syed Rasel,2009-08-16,1st,H Masakadza,0,,MA Vermeulen,1,Zimbabwe,Bangladesh,1,Zimbabwe,Queens Sports Club,0,Bangladesh
2,0.3,0,Syed Rasel,2009-08-16,1st,MA Vermeulen,1,,H Masakadza,0,Zimbabwe,Bangladesh,1,Zimbabwe,Queens Sports Club,0,Bangladesh
3,0.4,0,Syed Rasel,2009-08-16,1st,MA Vermeulen,1,,H Masakadza,0,Zimbabwe,Bangladesh,1,Zimbabwe,Queens Sports Club,0,Bangladesh
4,0.5,0,Syed Rasel,2009-08-16,1st,MA Vermeulen,1,,H Masakadza,0,Zimbabwe,Bangladesh,1,Zimbabwe,Queens Sports Club,0,Bangladesh
5,0.6,0,Syed Rasel,2009-08-16,1st,MA Vermeulen,1,,H Masakadza,0,Zimbabwe,Bangladesh,1,Zimbabwe,Queens Sports Club,0,Bangladesh
6,1.1,4,Mahbubul Alam,2009-08-16,1st,H Masakadza,0,,MA Vermeulen,5,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,0,Bangladesh
7,1.2,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,0,,MA Vermeulen,5,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,0,Bangladesh
8,1.3,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,0,MA Vermeulen,MA Vermeulen,5,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
9,1.4,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,0,,CK Coventry,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
10,1.5,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,0,,CK Coventry,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
11,1.6,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,0,,CK Coventry,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
12,2.1,0,Syed Rasel,2009-08-16,1st,CK Coventry,0,,H Masakadza,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
13,2.2,0,Syed Rasel,2009-08-16,1st,CK Coventry,0,,H Masakadza,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
14,2.3,0,Syed Rasel,2009-08-16,1st,CK Coventry,0,,H Masakadza,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
15,2.4,0,Syed Rasel,2009-08-16,1st,CK Coventry,0,,H Masakadza,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
16,2.5,0,Syed Rasel,2009-08-16,1st,CK Coventry,0,,H Masakadza,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
17,2.6,0,Syed Rasel,2009-08-16,1st,CK Coventry,0,,H Masakadza,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
18,3.1,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,0,,CK Coventry,0,Zimbabwe,Bangladesh,5,Zimbabwe,Queens Sports Club,1,Bangladesh
19,3.2,1,Mahbubul Alam,2009-08-16,1st,H Masakadza,0,,CK Coventry,1,Zimbabwe,Bangladesh,6,Zimbabwe,Queens Sports Club,1,Bangladesh
20,3.3,0,Mahbubul Alam,2009-08-16,1st,CK Coventry,1,,H Masakadza,0,Zimbabwe,Bangladesh,6,Zimbabwe,Queens Sports Club,1,Bangladesh
21,3.4,2,Mahbubul Alam,2009-08-16,1st,CK Coventry,1,,H Masakadza,2,Zimbabwe,Bangladesh,8,Zimbabwe,Queens Sports Club,1,Bangladesh
22,3.5,6,Mahbubul Alam,2009-08-16,1st,CK Coventry,1,,H Masakadza,8,Zimbabwe,Bangladesh,14,Zimbabwe,Queens Sports Club,1,Bangladesh
23,3.6,0,Mahbubul Alam,2009-08-16,1st,CK Coventry,1,,H Masakadza,8,Zimbabwe,Bangladesh,14,Zimbabwe,Queens Sports Club,1,Bangladesh
24,4.1,0,Syed Rasel,2009-08-16,1st,H Masakadza,8,,CK Coventry,1,Zimbabwe,Bangladesh,14,Zimbabwe,Queens Sports Club,1,Bangladesh
25,4.2,4,Syed Rasel,2009-08-16,1st,H Masakadza,8,,CK Coventry,5,Zimbabwe,Bangladesh,18,Zimbabwe,Queens Sports Club,1,Bangladesh
26,4.3,0,Syed Rasel,2009-08-16,1st,H Masakadza,8,,CK Coventry,5,Zimbabwe,Bangladesh,18,Zimbabwe,Queens Sports Club,1,Bangladesh
27,4.4,0,Syed Rasel,2009-08-16,1st,H Masakadza,8,,CK Coventry,5,Zimbabwe,Bangladesh,18,Zimbabwe,Queens Sports Club,1,Bangladesh
28,4.5,1,Syed Rasel,2009-08-16,1st,H Masakadza,8,,CK Coventry,6,Zimbabwe,Bangladesh,19,Zimbabwe,Queens Sports Club,1,Bangladesh
29,4.6,0,Syed Rasel,2009-08-16,1st,CK Coventry,6,,H Masakadza,8,Zimbabwe,Bangladesh,19,Zimbabwe,Queens Sports Club,1,Bangladesh
30,5.1,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,8,,CK Coventry,6,Zimbabwe,Bangladesh,19,Zimbabwe,Queens Sports Club,1,Bangladesh
31,5.2,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,8,,CK Coventry,6,Zimbabwe,Bangladesh,20,Zimbabwe,Queens Sports Club,1,Bangladesh
32,5.3,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,8,,CK Coventry,6,Zimbabwe,Bangladesh,21,Zimbabwe,Queens Sports Club,1,Bangladesh
33,5.4,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,8,,CK Coventry,6,Zimbabwe,Bangladesh,21,Zimbabwe,Queens Sports Club,1,Bangladesh
34,5.5,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,8,,CK Coventry,6,Zimbabwe,Bangladesh,21,Zimbabwe,Queens Sports Club,1,Bangladesh
35,5.6,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,8,,CK Coventry,6,Zimbabwe,Bangladesh,21,Zimbabwe,Queens Sports Club,1,Bangladesh
36,5.7,0,Mahbubul Alam,2009-08-16,1st,H Masakadza,8,,CK Coventry,6,Zimbabwe,Bangladesh,21,Zimbabwe,Queens Sports Club,1,Bangladesh
