,Ball,Batsman Run,Bowler,Date,Innings,Non Striker,Non Striker Run,Player Out,Striker,Striker Run,Team 1,Team 2,Team Total,Toss,Venue,Wicket,Winner/Result
0,0.1,0,KD Mills,2007-12-31,1st,Junaid Siddique,0,,Tamim Iqbal,0,New Zealand,Bangladesh,0,New Zealand,Queenstown Events Centre,0,New Zealand
1,0.2,0,KD Mills,2007-12-31,1st,Junaid Siddique,0,,Tamim Iqbal,0,New Zealand,Bangladesh,0,New Zealand,Queenstown Events Centre,0,New Zealand
2,0.3,0,KD Mills,2007-12-31,1st,Junaid Siddique,0,,Tamim Iqbal,0,New Zealand,Bangladesh,0,New Zealand,Queenstown Events Centre,0,New Zealand
3,0.4,2,KD Mills,2007-12-31,1st,Junaid Siddique,0,,Tamim Iqbal,2,New Zealand,Bangladesh,2,New Zealand,Queenstown Events Centre,0,New Zealand
4,0.5,0,KD Mills,2007-12-31,1st,Junaid Siddique,0,,Tamim Iqbal,2,New Zealand,Bangladesh,2,New Zealand,Queenstown Events Centre,0,New Zealand
5,0.6,0,KD Mills,2007-12-31,1st,Junaid Siddique,0,,Tamim Iqbal,2,New Zealand,Bangladesh,2,New Zealand,Queenstown Events Centre,0,New Zealand
6,1.1,0,CS Martin,2007-12-31,1st,Tamim Iqbal,2,,Junaid Siddique,0,New Zealand,Bangladesh,2,New Zealand,Queenstown Events Centre,0,New Zealand
7,1.2,0,CS Martin,2007-12-31,1st,Tamim Iqbal,2,,Junaid Siddique,0,New Zealand,Bangladesh,2,New Zealand,Queenstown Events Centre,0,New Zealand
8,1.3,0,CS Martin,2007-12-31,1st,Tamim Iqbal,2,,Junaid Siddique,0,New Zealand,Bangladesh,2,New Zealand,Queenstown Events Centre,0,New Zealand
9,1.4,0,CS Martin,2007-12-31,1st,Tamim Iqbal,2,,Junaid Siddique,0,New Zealand,Bangladesh,2,New Zealand,Queenstown Events Centre,0,New Zealand
10,1.5,1,CS Martin,2007-12-31,1st,Tamim Iqbal,2,,Junaid Siddique,1,New Zealand,Bangladesh,3,New Zealand,Queenstown Events Centre,0,New Zealand
11,1.6,0,CS Martin,2007-12-31,1st,Junaid Siddique,1,,Tamim Iqbal,2,New Zealand,Bangladesh,3,New Zealand,Queenstown Events Centre,0,New Zealand
12,2.1,0,KD Mills,2007-12-31,1st,Tamim Iqbal,2,,Junaid Siddique,1,New Zealand,Bangladesh,3,New Zealand,Queenstown Events Centre,0,New Zealand
13,2.2,0,KD Mills,2007-12-31,1st,Tamim Iqbal,2,,Junaid Siddique,1,New Zealand,Bangladesh,3,New Zealand,Queenstown Events Centre,0,New Zealand
